<<<<<<< Updated upstream
frame thiol_conversion ene_conversion
0 0.000911623195745781 0.004613902550322013
1 0.005469739174474575 0.01500785884500333
2 0.009622689288427466 0.02560462404299546
3 0.014585971131932163 0.036252091466815406
4 0.0181311724487212 0.04588551437408106
5 0.023347682957710836 0.05709070628200574
6 0.027551278804760715 0.06738325812503165
7 0.031045834388452764 0.07656036099984787
8 0.03464168143833879 0.08548395274552556
9 0.03838946568751578 0.09440754449120314
10 0.04233983286908083 0.10490290523753998
11 0.04654342871613071 0.1142321147898393
12 0.050797670296277575 0.12482887998783143
13 0.054038997214484685 0.13278912944278254
14 0.05793871866295264 0.1426760634791867
15 0.06118004558115975 0.15073771738579322
16 0.06563687009369457 0.15925569132484918
17 0.06968852874145348 0.16878770978045932
18 0.07287920992656371 0.17700147036454905
19 0.0758166624461889 0.18567155098108812
20 0.07961509242846287 0.19388531156517774
21 0.08270448214737913 0.2012371343101962
22 0.08670549506204106 0.20990721492673525
23 0.09090909090909094 0.2194899356081732
24 0.09506204102304383 0.22821071845053997
25 0.09815143074195998 0.23556254119555853
26 0.10200050645733094 0.243269279521371
27 0.10574829070650793 0.2521928712670486
28 0.10929349202329708 0.2591390762054454
29 0.11258546467460118 0.2668965167570856
30 0.11633324892377817 0.2749581706636921
31 0.11967586730817925 0.28342544237692036
32 0.1232210686249684 0.29113218070273283
33 0.1261078754114966 0.29899102570602853
34 0.12904532793112178 0.3053795061603204
35 0.13243859204861985 0.31273132890533895
36 0.1355279817675361 0.3203873650053237
37 0.13917447455051912 0.32880393449272427
38 0.1429729045327931 0.3362571616893981
39 0.14646746011648515 0.34345687775693357
40 0.14986072423398333 0.35101150940526293
41 0.15315269688528743 0.3571464787304163
42 0.15669789820207647 0.36394057699132987
43 0.1594834135224107 0.37032905744562183
44 0.1627753861737149 0.37737666683567406
45 0.16581413015953406 0.38412006287076006
46 0.1693086857432261 0.3902043299700857
47 0.17270194986072418 0.3969477260051716
48 0.1755381109141555 0.4036911220402576
49 0.17857685489997466 0.41028241139786037
50 0.18151430741959995 0.41575825178725345
51 0.18485692580400104 0.4229579678547888
52 0.18865535578627501 0.43046189727729045
53 0.19139022537351225 0.4366475688282716
54 0.19437832362623453 0.44156568473355984
55 0.19701190174727778 0.446838716219642
56 0.20070904026335779 0.4526694721898291
57 0.20324132691820718 0.45844952593418853
58 0.20633071663712332 0.46458449525934187
59 0.20896429475816658 0.4695026111646301
60 0.21159787287920995 0.4749277493281955
61 0.21524436566219296 0.48136693200831515
62 0.2179285895163332 0.48719768797850227
63 0.22066345910357055 0.49242001723875684
64 0.22436059761965055 0.49931551995132584
65 0.22648771840972393 0.5033716980175429
66 0.22876677639908838 0.5083912183744866
67 0.2320081033172955 0.5135121431830858
68 0.23428716130665994 0.5192921969274451
69 0.2368700936946062 0.5239060994777671
70 0.2385920486199038 0.5291284287380216
71 0.24066852367688019 0.5332860112558941
72 0.24284629020005066 0.5373928915479389
73 0.2455811597872879 0.5424124119048827
74 0.2480121549759433 0.5471784211326878
75 0.2504431501645986 0.5516909192313543
76 0.253076728285642 0.5568118440399534
77 0.25484932894403645 0.5613243421386198
78 0.25657128386933403 0.5654819246564924
79 0.2582932387946315 0.5695888049485373
80 0.260471005317802 0.572985854078994
81 0.2624461889085844 0.576889925467728
82 0.2646239554317549 0.5811996146630838
83 0.2667004304887314 0.5850022816001623
84 0.2687262598126108 0.588754246311413
85 0.2712079007343632 0.5927597221518024
86 0.2732337300582426 0.5963595801855701
87 0.27505697644973415 0.5997059270901992
88 0.2768802228412256 0.6026973584140344
89 0.279361863762978 0.6070577498352178
90 0.28128640162066343 0.6102519900623637
91 0.28326158521144595 0.6142067636769254
92 0.2850848316029374 0.6175024083557268
93 0.28695872372752596 0.6207980530345283
94 0.2892377817168903 0.624550017745779
95 0.29116231957457583 0.6276428535212696
96 0.29278298303367944 0.6308370937484156
97 0.29445429222587993 0.633777822846423
98 0.29607495568498354 0.6375804897835016
99 0.2978475563433781 0.640318409978198
100 0.2998733856672575 0.643867565786138
101 0.30184856925804004 0.6472139126907671
102 0.3036211699164345 0.6505095573695685
103 0.305849582172702 0.6541601176291639
104 0.3073689541656115 0.6572529534046545
105 0.3090909090909091 0.6600922780510065
106 0.31131932134717655 0.6637428383106019
107 0.31299063053937703 0.6670384829894032
108 0.3148138769308686 0.669725700958272
109 0.3163838946568751 0.6723115144754854
110 0.3184603697138516 0.6752015413476651
111 0.31962522157508233 0.6777366526390509
112 0.3208913649025069 0.6802210617046088
113 0.3227146112939985 0.6828068752218223
114 0.32443656621929606 0.685341986513208
115 0.3258040010129146 0.688333417837043
116 0.32701949860724233 0.6907671246767733
117 0.328437579133958 0.6929473203873651
118 0.3300075968599645 0.6949754094204735
119 0.3307672828564193 0.6979668407443087
120 0.33233730058242594 0.700755463164833
121 0.3337047353760446 0.7029356588754246
122 0.3353760445682451 0.705521472392638
123 0.3366928336287668 0.7082086903615068
124 0.3382122056216764 0.7105916949754094
125 0.33978222334768293 0.7127211884601734
126 0.34130159534059257 0.7152055975257314
127 0.3424664472018233 0.717385793236323
128 0.3439858191947328 0.7196673933985702
129 0.34510002532286654 0.721644780205851
130 0.34672068878197015 0.7240784870455813
131 0.34798683210939474 0.7261065760786898
132 0.3495062041023044 0.7279825584343153
133 0.35041782729805016 0.7297064341124575
134 0.3515826791592809 0.7319880342747047
135 0.3526462395543175 0.7336612077270193
136 0.35381109141554823 0.7350301678243675
137 0.35492529754368196 0.7368047457283375
138 0.35614079513800967 0.7383765147289967
139 0.35735629273233727 0.7404046037621052
140 0.35867308179285895 0.7425340972468691
141 0.3597872879209927 0.7441058662475283
142 0.3608508483160294 0.7460325508289813
143 0.3626234489744239 0.7478578309587791
144 0.36323119777158774 0.7495310044110937
145 0.3645986325652064 0.751406986766719
146 0.3655609014940491 0.7533843735739999
147 0.36642187895669787 0.7544491203163819
148 0.3676373765510256 0.7565279115753182
149 0.36859964547986834 0.7584038939309435
150 0.36946062294251714 0.7598742584799473
151 0.3707267662699417 0.7612939208031233
152 0.3716383894656875 0.7629670942554378
153 0.37224613826285136 0.7641332454494753
154 0.3733603443909851 0.7650965877402018
155 0.3741200303874399 0.76646554783755
156 0.37513294504937955 0.7680373168382092
157 0.37599392251202834 0.7692541702580743
158 0.37644973410990124 0.7706231303554226
159 0.37731071157255003 0.7715864726461492
160 0.37812104330210183 0.772854028291842
=======
frame thiol_conv ene_conv
0 0.0009116231957458 0.0046139025503220
1 0.0054697391744746 0.0150078588450033
2 0.0096226892884275 0.0256046240429955
3 0.0145859711319322 0.0362520914668154
4 0.0181311724487212 0.0458855143740811
5 0.0233476829577108 0.0570907062820057
6 0.0275512788047607 0.0673832581250317
7 0.0310458343884528 0.0765603609998479
8 0.0346416814383388 0.0854839527455256
9 0.0383894656875158 0.0944075444912031
10 0.0423398328690808 0.1049029052375400
11 0.0465434287161307 0.1142321147898393
12 0.0507976702962776 0.1248288799878314
13 0.0540389972144847 0.1327891294427825
14 0.0579387186629526 0.1426760634791867
15 0.0611800455811597 0.1507377173857932
16 0.0656368700936946 0.1592556913248492
17 0.0696885287414535 0.1687877097804593
18 0.0728792099265637 0.1770014703645491
19 0.0758166624461889 0.1856715509810881
20 0.0796150924284629 0.1938853115651777
21 0.0827044821473791 0.2012371343101962
22 0.0867054950620411 0.2099072149267353
23 0.0909090909090909 0.2194899356081732
24 0.0950620410230438 0.2282107184505400
25 0.0981514307419600 0.2355625411955585
26 0.1020005064573309 0.2432692795213710
27 0.1057482907065079 0.2521928712670486
28 0.1092934920232971 0.2591390762054454
29 0.1125854646746012 0.2668965167570856
30 0.1163332489237782 0.2749581706636921
31 0.1196758673081793 0.2834254423769204
32 0.1232210686249684 0.2911321807027328
33 0.1261078754114966 0.2989910257060285
34 0.1290453279311218 0.3053795061603204
35 0.1324385920486199 0.3127313289053389
36 0.1355279817675361 0.3203873650053237
37 0.1391744745505191 0.3288039344927243
38 0.1429729045327931 0.3362571616893981
39 0.1464674601164851 0.3434568777569336
40 0.1498607242339833 0.3510115094052629
41 0.1531526968852874 0.3571464787304163
42 0.1566978982020765 0.3639405769913299
43 0.1594834135224107 0.3703290574456218
44 0.1627753861737149 0.3773766668356741
45 0.1658141301595341 0.3841200628707601
