dangling_strand data
1 1822
2 482
3 756
4 564
5 45
6 394
7 263
8 45
9 108
10 94
11 26
12 81
13 71
14 18
15 43
16 30
17 6
18 16
19 12
20 7
21 10
22 14
23 8
24 7
25 9
26 4
27 3
28 5
29 1
30 1
31 6
32 2
33 4
34 2
35 3
36 3
37 2
40 1
44 1
47 1
52 2
61 2
62 1
primary_loop_size data
4.0 22
5.0 26
6.0 47
7.0 4
8.0 15
9.0 2
10.0 2
11.0 2
12.0 3
15.0 1
16.0 1
18.0 1
secondary_loop_size data
3.0 60
4.0 43
5.0 42
6.0 13
7.0 33
8.0 17
9.0 8
10.0 7
11.0 3
12.0 8
14.0 3
15.0 1
16.0 2
17.0 2
29.0 1
tertiary_loop_size data
2.0 40
3.0 35
4.0 24
5.0 19
6.0 17
7.0 20
8.0 14
9.0 21
10.0 6
11.0 8
12.0 7
13.0 3
14.0 3
15.0 3
16.0 4
17.0 1
18.0 3
19.0 1
20.0 1
26.0 1
31.0 1
32.0 1
quaternary_loop_size data
2.0 16
3.0 20
4.0 22
5.0 19
6.0 21
7.0 19
8.0 23
9.0 8
10.0 15
11.0 16
12.0 12
13.0 9
14.0 9
15.0 8
16.0 9
17.0 5
18.0 6
19.0 9
20.0 4
21.0 2
22.0 3
24.0 2
25.0 2
26.0 2
27.0 1
29.0 1
