loop_size count
5 115
6 130
7 141
8 71
9 129
10 99
11 77
12 83
13 78
14 71
15 67
16 82
17 72
18 94
19 92
20 83
21 89
22 104
23 101
24 123
25 113
26 136
27 162
28 159
29 178
30 202
31 209
32 240
33 276
34 266
35 317
36 362
37 411
38 460
39 544
40 622
41 668
42 737
43 877
44 952
45 1161
46 1241
47 1493
48 1700
49 1874
50 2216
