dangling_strand data
1 472
2 35
3 1122
4 661
5 1
6 353
7 61
8 8
9 191
10 125
11 1
12 97
13 26
15 52
16 43
17 1
18 35
19 15
20 2
21 22
22 15
24 11
25 3
27 11
28 8
30 7
31 4
32 1
33 7
34 4
36 5
39 2
40 3
42 3
45 1
46 1
48 1
51 1
55 2
primary_loop_size data
2.0 137
4.0 40
5.0 49
6.0 10
7.0 21
8.0 18
9.0 3
10.0 1
11.0 3
13.0 1
16.0 1
17.0 1
secondary_loop_size data
1.0 83
3.0 86
4.0 44
5.0 16
6.0 22
7.0 24
8.0 7
9.0 16
10.0 3
11.0 3
12.0 3
13.0 6
14.0 3
15.0 1
16.0 3
17.0 1
19.0 1
22.0 1
29.0 1
30.0 1
tertiary_loop_size data
1.0 1
2.0 57
3.0 38
4.0 42
5.0 20
6.0 22
7.0 12
8.0 13
9.0 8
10.0 9
11.0 7
12.0 7
13.0 4
14.0 1
15.0 6
16.0 3
17.0 1
18.0 1
20.0 2
21.0 1
22.0 1
23.0 1
29.0 1
30.0 1
32.0 1
quaternary_loop_size data
2.0 13
3.0 13
4.0 16
5.0 14
6.0 16
7.0 19
8.0 12
9.0 9
10.0 12
11.0 10
12.0 6
13.0 10
14.0 5
15.0 7
16.0 11
17.0 5
18.0 5
19.0 3
20.0 3
21.0 2
22.0 3
23.0 3
24.0 1
25.0 2
26.0 1
27.0 1
30.0 1
33.0 1
34.0 1
35.0 1
36.0 1
