cluster_size count
40108 1
486 1
394 1
360 1
259 1
246 1
234 1
203 1
166 1
159 1
141 1
132 1
129 1
128 1
123 1
121 1
117 1
116 2
114 1
113 1
110 1
108 1
106 1
104 1
99 1
97 1
95 1
91 1
87 1
85 1
84 1
83 1
82 1
81 1
79 2
78 2
77 2
76 2
75 1
74 1
72 2
71 1
70 1
69 2
68 1
67 2
63 2
62 2
61 3
60 3
59 3
58 5
57 1
55 4
54 4
53 3
52 2
51 2
50 5
49 4
48 4
47 3
46 5
45 6
44 1
42 16
41 5
40 5
39 6
38 4
37 6
36 9
35 3
34 8
33 3
32 5
31 8
30 12
29 3
28 12
27 5
26 7
24 18
22 19
21 3
20 15
19 5
18 44
17 4
16 25
15 8
14 17
13 5
12 68
11 1
10 49
9 4
8 47
6 246
5 3
4 204
2 149
