dangling_strand count
1 754
5 594
7 195
10 19
11 219
13 74
14 12
16 16
17 67
18 5
19 27
20 14
22 2
23 24
24 11
25 8
26 5
28 5
29 15
30 4
31 1
32 2
33 3
34 5
35 4
36 4
37 2
39 1
40 1
44 2
46 1
47 1
49 1
52 1
53 1
57 1
60 2
89 1
primary_loop_size data
6.0 334
12.0 31
13.0 10
18.0 5
19.0 4
20.0 1
25.0 1
secondary_loop_size data
12.0 69
18.0 39
19.0 3
24.0 10
25.0 3
30.0 4
31.0 2
37.0 1
38.0 1
42.0 1
48.0 1
tertiary_loop_size data
12.0 2
18.0 29
24.0 23
25.0 6
30.0 15
31.0 2
32.0 1
36.0 6
37.0 4
42.0 1
43.0 2
44.0 1
48.0 1
50.0 1
54.0 2
55.0 1
56.0 1
80.0 1
87.0 1
quaternary_loop_size data
18.0 2
24.0 21
25.0 1
30.0 15
31.0 4
36.0 18
37.0 5
42.0 4
43.0 6
44.0 1
48.0 7
49.0 4
50.0 1
51.0 1
54.0 3
55.0 2
56.0 1
60.0 3
61.0 2
66.0 1
68.0 1
74.0 1
85.0 1
86.0 1
