dangling_strand data
1 1850
2 420
3 790
4 538
5 41
6 388
7 256
8 33
9 117
10 104
11 24
12 66
13 54
14 19
15 26
16 29
17 8
18 16
19 15
20 4
21 13
22 12
23 5
24 7
25 5
26 6
27 4
28 4
30 3
31 4
32 1
33 5
34 1
36 1
39 2
40 2
45 2
47 1
77 1
primary_loop_size data
4.0 20
5.0 13
6.0 37
7.0 9
8.0 7
9.0 4
10.0 3
11.0 2
12.0 1
14.0 1
17.0 1
secondary_loop_size data
3.0 58
4.0 29
5.0 34
6.0 18
7.0 25
8.0 10
9.0 8
10.0 8
12.0 4
13.0 1
14.0 3
15.0 1
16.0 1
17.0 1
18.0 2
19.0 3
tertiary_loop_size data
2.0 49
3.0 42
4.0 24
5.0 25
6.0 37
7.0 18
8.0 15
9.0 12
10.0 11
11.0 15
12.0 6
13.0 11
14.0 7
15.0 5
16.0 4
17.0 1
19.0 2
20.0 1
21.0 1
23.0 1
26.0 1
31.0 2
quaternary_loop_size data
2.0 16
3.0 19
4.0 22
5.0 18
6.0 30
7.0 16
8.0 25
9.0 15
10.0 15
11.0 4
12.0 12
13.0 12
14.0 10
15.0 11
16.0 7
17.0 5
18.0 3
19.0 8
20.0 2
21.0 2
22.0 4
23.0 1
26.0 1
29.0 2
31.0 1
32.0 1
