dangling_strand data
1 337
5 240
7 107
10 6
11 114
13 48
14 1
16 4
17 70
19 15
20 3
22 1
23 29
24 1
25 14
26 1
28 4
29 12
30 1
31 5
34 1
35 7
37 3
41 6
42 1
44 1
46 3
47 3
53 1
61 1
primary_loop_size data
6.0 300
12.0 52
13.0 1
18.0 11
19.0 2
24.0 3
25.0 1
secondary_loop_size data
12.0 57
18.0 30
19.0 2
24.0 8
25.0 1
30.0 9
36.0 5
37.0 1
42.0 1
48.0 2
54.0 1
61.0 1
tertiary_loop_size data
6.0 1
12.0 2
18.0 22
24.0 15
30.0 16
36.0 14
37.0 1
42.0 4
48.0 3
55.0 1
60.0 1
72.0 1
79.0 1
quaternary_loop_size data
18.0 1
24.0 7
30.0 23
31.0 1
36.0 15
42.0 15
43.0 4
48.0 13
50.0 1
54.0 9
55.0 2
60.0 2
61.0 1
62.0 1
66.0 4
67.0 1
68.0 1
72.0 3
73.0 1
79.0 2
96.0 1
115.0 1
