dangling_strand data
1 607
5 457
7 208
10 15
11 213
13 102
14 15
16 7
17 85
18 7
19 32
20 20
22 10
23 38
24 11
25 19
26 12
28 13
29 21
30 9
31 9
32 9
33 6
34 8
35 6
36 8
37 3
38 6
39 3
40 7
41 10
42 6
43 3
44 5
45 3
46 7
47 3
48 3
49 2
50 3
51 1
52 2
53 1
54 2
56 1
57 3
58 2
59 5
60 2
61 1
62 2
63 4
64 3
66 1
67 1
68 1
70 1
71 1
72 2
73 3
75 1
76 1
77 1
79 1
80 1
82 2
84 1
87 1
88 2
89 1
90 1
91 1
93 1
95 1
96 2
97 1
103 1
106 1
116 1
118 1
129 1
131 1
135 1
176 1
221 1
primary_loop_size data
6.0 214
12.0 29
13.0 11
18.0 7
19.0 6
24.0 1
62.0 1
secondary_loop_size data
12.0 30
18.0 14
19.0 6
24.0 3
25.0 1
26.0 1
30.0 3
31.0 2
36.0 1
37.0 1
42.0 1
45.0 1
48.0 1
56.0 1
tertiary_loop_size data
18.0 13
24.0 6
25.0 3
30.0 4
31.0 3
36.0 1
37.0 3
42.0 2
43.0 3
49.0 2
50.0 1
51.0 1
56.0 1
57.0 1
68.0 1
69.0 1
79.0 1
quaternary_loop_size data
18.0 1
30.0 10
31.0 1
36.0 5
42.0 2
44.0 1
48.0 1
54.0 2
55.0 2
56.0 1
60.0 2
61.0 2
62.0 2
69.0 1
75.0 1
80.0 1
87.0 1
88.0 1
