dangling_strand data
1 682
5 500
7 203
10 13
11 212
13 78
14 7
16 9
17 86
18 6
19 39
20 10
22 8
23 28
24 11
25 24
26 15
27 1
28 14
29 13
30 8
31 11
32 8
33 2
34 7
35 7
36 9
37 4
38 4
39 1
40 4
41 6
42 2
43 3
44 6
45 2
46 3
48 4
49 1
50 6
51 2
52 4
54 3
58 1
60 2
61 1
62 1
63 2
64 4
71 1
75 1
77 1
78 1
82 1
88 1
92 1
96 1
99 2
100 1
102 1
137 1
138 1
177 1
250 1
275 1
primary_loop_size data
6.0 230
12.0 47
13.0 13
18.0 6
19.0 2
20.0 1
24.0 4
25.0 3
26.0 1
30.0 1
31.0 1
32.0 1
secondary_loop_size data
12.0 29
18.0 16
19.0 4
24.0 2
25.0 3
26.0 1
30.0 2
31.0 1
32.0 2
36.0 2
37.0 2
42.0 2
44.0 1
tertiary_loop_size data
12.0 1
18.0 12
24.0 9
25.0 4
30.0 5
31.0 3
32.0 1
36.0 8
37.0 2
43.0 1
44.0 2
48.0 1
49.0 1
55.0 1
60.0 1
61.0 1
62.0 1
100.0 1
quaternary_loop_size data
24.0 9
30.0 6
31.0 1
36.0 9
37.0 2
38.0 1
42.0 4
49.0 4
54.0 1
55.0 4
56.0 1
60.0 2
61.0 1
62.0 1
67.0 1
73.0 1
79.0 1
80.0 1
98.0 1
103.0 1
