dangling_strand count
1 861
5 756
7 152
10 32
11 192
13 35
14 15
16 10
17 40
18 5
19 5
20 10
22 4
23 17
24 6
25 2
26 4
27 1
28 5
29 2
30 3
31 3
32 1
34 1
35 1
36 1
37 1
38 1
39 1
43 1
45 1
55 1
primary_loop_size data
6.0 453
12.0 34
13.0 16
18.0 5
19.0 4
24.0 1
25.0 1
30.0 1
37.0 1
secondary_loop_size data
12.0 108
18.0 37
19.0 8
24.0 3
25.0 3
30.0 2
31.0 1
38.0 1
tertiary_loop_size data
12.0 5
18.0 61
24.0 39
25.0 7
30.0 15
31.0 4
36.0 2
37.0 1
44.0 2
48.0 1
54.0 1
quaternary_loop_size data
18.0 5
24.0 37
25.0 1
30.0 32
31.0 6
36.0 17
37.0 3
38.0 1
42.0 4
43.0 6
48.0 4
54.0 1
55.0 1
56.0 1
58.0 1
61.0 1
62.0 1
