strand_size count
1 128
2 65
4 94
5 63
6 370
7 59
8 19
9 3
10 17
11 64
12 150
13 44
14 11
15 2
16 19
17 51
18 100
19 39
20 18
22 10
23 36
24 70
25 33
26 4
27 2
28 14
29 28
30 46
31 24
32 2
33 1
34 9
35 22
36 43
37 24
38 9
39 2
40 8
41 24
42 46
43 27
44 2
45 3
46 6
47 11
48 43
49 15
50 2
52 10
53 13
54 26
55 11
57 3
58 3
59 5
60 26
61 7
62 3
63 1
64 3
65 9
66 6
67 6
68 1
70 2
71 6
72 13
73 9
74 1
77 6
78 15
79 5
82 1
83 2
84 13
85 3
88 1
89 3
90 5
91 5
93 1
95 3
96 10
97 4
101 2
102 5
103 1
105 1
106 1
107 3
108 2
109 1
110 2
112 1
113 1
114 3
117 1
119 3
120 2
124 2
126 2
127 2
132 3
135 1
138 3
139 1
140 1
141 2
143 1
144 1
145 1
149 1
150 1
159 2
166 1
168 2
178 1
179 1
191 1
198 2
201 1
203 1
209 1
210 1
228 1
243 1
258 1
282 1
306 1
311 1
313 1
379 1
383 1
414 1
470 1
556 1
