cluster_size count
38948 1
556 1
470 1
414 1
383 1
379 1
313 1
311 1
306 1
282 1
258 1
243 1
228 1
210 1
209 1
201 1
198 1
191 1
179 1
178 1
166 1
159 2
141 2
140 1
139 1
138 2
135 1
127 2
124 2
120 1
119 1
117 1
112 1
110 2
109 1
107 1
106 1
105 1
97 1
96 2
93 1
91 1
89 1
88 1
85 1
84 2
83 1
82 1
78 1
77 1
74 1
73 1
72 4
71 2
70 2
68 1
67 1
66 3
64 3
63 1
62 3
61 1
60 3
58 3
57 3
54 4
52 10
50 2
49 2
48 6
47 1
46 6
45 3
44 2
43 3
42 12
41 1
40 8
39 2
38 9
37 1
36 11
34 9
33 1
32 2
30 12
28 14
27 2
26 4
25 3
24 17
23 1
22 10
20 18
18 23
16 19
15 2
14 11
13 3
12 59
10 17
9 3
8 19
6 212
5 1
4 94
2 65
