dangle_size count
2 65
4 94
5 63
6 212
7 59
8 19
9 3
10 17
11 64
12 59
13 44
14 11
15 2
16 19
17 51
18 23
19 39
20 18
22 10
23 36
24 17
25 33
26 4
27 2
28 14
29 28
30 12
31 24
32 2
33 1
34 9
35 22
36 11
37 24
38 9
39 2
40 8
41 24
42 12
43 27
44 2
45 3
46 6
47 11
48 6
49 15
50 2
52 10
53 13
54 4
55 11
57 3
58 3
59 5
60 3
61 7
62 3
63 1
64 3
65 9
66 3
67 6
68 1
70 2
71 6
72 4
73 9
74 1
77 6
78 1
79 5
82 1
83 2
84 2
85 3
88 1
89 3
91 5
93 1
95 3
96 2
97 4
101 2
103 1
105 1
106 1
107 3
109 1
110 2
112 1
113 1
117 1
119 3
120 1
124 2
127 2
135 1
138 2
139 1
140 1
141 2
143 1
145 1
149 1
159 2
166 1
178 1
179 1
191 1
198 1
201 1
203 1
209 1
210 1
228 1
243 1
258 1
282 1
306 1
311 1
313 1
379 1
383 1
414 1
470 1
556 1
