strand_size count
1 329
2 93
4 154
5 242
6 750
7 142
8 31
9 4
10 33
11 156
12 392
13 98
14 10
16 23
17 86
18 258
19 84
20 10
21 4
22 16
23 70
24 158
25 46
26 5
27 6
28 13
29 47
30 95
31 30
32 5
33 4
34 5
35 35
36 60
37 18
38 2
39 1
40 2
41 22
42 45
43 21
44 3
46 5
47 19
48 23
49 14
50 2
51 4
52 3
53 5
54 23
55 6
59 6
60 7
61 6
62 1
63 1
64 1
65 4
66 10
67 4
71 1
72 8
73 6
75 2
77 4
78 1
79 1
81 3
82 2
83 1
84 1
87 1
88 1
90 1
91 3
93 3
95 1
96 4
99 1
100 1
102 1
103 1
108 1
110 1
114 1
120 1
127 1
131 1
141 1
144 1
150 1
168 1
174 1
183 1
185 1
191 1
218 1
297 1
