dangling_strand count
1 182
5 151
7 97
10 2
11 92
13 69
16 2
17 63
19 55
20 3
22 2
23 37
25 29
26 2
28 4
29 30
30 3
31 19
32 5
34 1
35 22
36 1
37 13
38 1
40 2
41 17
42 2
43 15
44 4
46 4
47 11
48 2
49 9
50 3
52 1
53 2
54 2
55 2
56 3
59 1
60 4
61 2
62 5
64 3
66 3
67 2
68 1
70 3
71 1
72 1
73 3
74 1
76 1
77 4
78 2
79 1
80 1
82 2
83 1
84 1
85 1
86 1
88 1
89 3
90 1
91 1
92 1
93 2
94 1
98 2
101 1
104 2
106 1
109 1
110 1
112 1
115 1
116 2
125 1
126 1
128 1
129 1
131 1
133 1
134 1
135 1
139 2
158 1
159 1
182 1
200 1
218 1
223 1
284 1
298 1
303 1
341 1
353 1
primary_loop_size data
6.0 127
12.0 36
13.0 3
18.0 9
19.0 1
24.0 2
25.0 1
30.0 2
36.0 1
37.0 1
43.0 1
secondary_loop_size data
12.0 6
18.0 4
19.0 1
24.0 5
25.0 1
30.0 4
31.0 1
38.0 1
42.0 1
49.0 1
54.0 1
57.0 1
67.0 1
tertiary_loop_size data
18.0 2
24.0 2
30.0 2
31.0 1
36.0 2
42.0 1
43.0 1
48.0 1
50.0 1
54.0 1
60.0 1
61.0 2
81.0 1
84.0 1
85.0 1
90.0 1
168.0 1
quaternary_loop_size data
24.0 1
31.0 3
36.0 1
54.0 4
60.0 1
66.0 2
84.0 1
87.0 1
117.0 1
126.0 1
129.0 2
164.0 1
