dangling_strand count
1 2015
2 299
3 768
4 547
5 31
6 397
7 265
8 21
9 122
10 111
11 17
12 70
13 46
14 8
15 35
16 26
17 4
18 15
19 26
20 6
21 7
22 12
23 2
24 9
25 6
26 3
27 2
28 5
29 3
30 5
31 7
33 3
34 3
35 1
36 2
37 1
38 1
39 2
40 1
41 1
43 1
49 1
51 1
54 2
57 1
primary_loop_size data
4.0 15
5.0 22
6.0 35
7.0 10
8.0 16
9.0 6
10.0 2
11.0 2
12.0 2
13.0 3
14.0 1
secondary_loop_size data
3.0 67
4.0 37
5.0 55
6.0 14
7.0 27
8.0 23
9.0 6
10.0 9
11.0 5
12.0 2
13.0 1
14.0 3
15.0 1
17.0 1
18.0 1
50.0 1
tertiary_loop_size data
1.0 2
2.0 45
3.0 33
4.0 33
5.0 14
6.0 27
7.0 26
8.0 25
9.0 12
10.0 12
11.0 6
12.0 9
13.0 6
14.0 11
15.0 7
17.0 2
18.0 1
19.0 2
21.0 3
25.0 2
39.0 1
quaternary_loop_size data
2.0 23
3.0 12
4.0 20
5.0 19
6.0 12
7.0 14
8.0 22
9.0 17
10.0 12
11.0 13
12.0 15
13.0 7
14.0 5
15.0 13
16.0 11
17.0 7
18.0 3
19.0 2
21.0 1
22.0 3
23.0 1
24.0 1
25.0 1
28.0 2
29.0 1
