dangling_strand data
1 1842
2 473
3 739
4 565
5 57
6 407
7 254
8 33
9 109
10 108
11 29
12 68
13 45
14 17
15 34
16 29
17 6
18 20
19 29
20 8
21 12
22 12
23 5
24 9
25 5
26 7
27 3
28 8
29 4
30 3
31 4
33 4
34 5
35 3
36 1
37 2
38 1
39 2
40 2
41 4
43 1
45 1
49 2
54 2
55 1
58 1
67 1
primary_loop_size data
4.0 20
5.0 20
6.0 39
7.0 9
8.0 17
9.0 6
10.0 2
11.0 2
12.0 3
13.0 3
14.0 1
secondary_loop_size data
3.0 66
4.0 38
5.0 50
6.0 12
7.0 31
8.0 18
9.0 5
10.0 6
11.0 5
12.0 6
13.0 2
14.0 1
15.0 2
17.0 1
18.0 1
tertiary_loop_size data
1.0 2
2.0 38
3.0 33
4.0 31
5.0 15
6.0 21
7.0 26
8.0 24
9.0 12
10.0 13
11.0 6
12.0 6
13.0 7
14.0 10
15.0 7
16.0 1
17.0 2
18.0 1
19.0 2
21.0 3
23.0 1
25.0 1
quaternary_loop_size data
2.0 20
3.0 9
4.0 20
5.0 20
6.0 12
7.0 13
8.0 21
9.0 14
10.0 11
11.0 12
12.0 13
13.0 7
14.0 5
15.0 13
16.0 11
17.0 12
18.0 4
19.0 2
20.0 1
21.0 1
22.0 2
23.0 1
24.0 1
25.0 2
26.0 1
28.0 2
29.0 1
31.0 1
