dangling_strand data
1 434
2 42
3 1158
4 643
5 3
6 341
7 65
8 6
9 202
10 150
12 83
13 28
14 2
15 51
16 39
18 38
19 9
20 1
21 26
22 10
24 18
25 7
27 10
28 8
30 7
31 3
33 1
34 6
36 4
37 1
38 1
39 2
40 2
42 1
45 2
46 1
51 1
54 1
66 1
primary_loop_size data
2.0 136
4.0 45
5.0 52
6.0 11
7.0 20
8.0 11
9.0 2
11.0 2
12.0 1
13.0 1
14.0 1
16.0 1
17.0 1
secondary_loop_size data
1.0 78
3.0 111
4.0 40
5.0 13
6.0 34
7.0 25
8.0 11
9.0 11
10.0 11
11.0 7
12.0 5
13.0 4
14.0 2
15.0 5
17.0 1
18.0 1
22.0 1
23.0 1
tertiary_loop_size data
1.0 4
2.0 50
3.0 33
4.0 23
5.0 21
6.0 22
7.0 12
8.0 16
9.0 7
10.0 6
11.0 10
12.0 9
13.0 7
14.0 3
15.0 6
16.0 1
17.0 3
18.0 1
19.0 2
21.0 2
24.0 2
28.0 1
36.0 1
quaternary_loop_size data
2.0 10
3.0 13
4.0 19
5.0 19
6.0 12
7.0 16
8.0 19
9.0 11
10.0 13
11.0 9
12.0 8
13.0 4
14.0 9
15.0 8
16.0 4
17.0 4
18.0 1
19.0 2
20.0 7
21.0 3
22.0 2
23.0 3
24.0 1
25.0 2
26.0 1
29.0 1
30.0 1
33.0 1
