0,0
486,1
0,2
0,3
0,4
392,5
167,6
145,7
0,8
0,9
13,10
155,11
25,12
61,13
15,14
0,15
9,16
69,17
18,18
37,19
15,20
0,21
6,22
40,23
19,24
18,25
10,26
3,27
1,28
24,29
16,30
9,31
15,32
1,33
2,34
4,35
12,36
4,37
3,38
2,39
2,40
4,41
8,42
4,43
5,44
2,45
2,46
6,47
4,48
3,49
3,50
1,51
3,52
3,53
2,54
3,55
2,56
0,57
1,58
2,59
1,60
2,61
1,62
2,63
0,64
1,65
1,66
0,67
0,68
1,69
1,70
1,71
1,72
1,73
0,74
2,75
0,76
0,77
0,78
0,79
1,80
1,81
2,82
1,83
2,84
0,85
0,86
0,87
2,88
0,89
3,90
1,91
0,92
1,93
1,94
0,95
0,96
0,97
0,98
0,99
0,100
1,101
0,102
1,103
0,104
1,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
1,116
1,117
0,118
1,119
