dangling_strand data
1 4286
2 124
4 40
5 26
6 446
7 254
9 91
10 132
11 8
12 1
13 5
14 4
15 29
16 23
18 12
19 18
20 4
23 1
24 2
25 5
27 4
28 2
29 1
33 2
34 1
primary_loop_size data
2.0 159
4.0 20
5.0 3
6.0 101
8.0 11
9.0 8
11.0 1
12.0 1
13.0 3
secondary_loop_size data
1.0 126
3.0 96
4.0 36
5.0 86
6.0 4
7.0 37
8.0 28
9.0 5
10.0 9
11.0 3
12.0 8
13.0 1
14.0 3
15.0 1
17.0 2
tertiary_loop_size data
1.0 5
2.0 112
3.0 71
4.0 48
5.0 21
6.0 41
7.0 37
8.0 13
9.0 13
10.0 16
11.0 15
12.0 5
13.0 11
14.0 10
15.0 1
16.0 3
17.0 1
22.0 1
28.0 1
quaternary_loop_size data
2.0 15
3.0 24
4.0 29
5.0 32
6.0 34
7.0 31
8.0 31
9.0 19
10.0 27
11.0 12
12.0 17
13.0 13
14.0 10
15.0 11
16.0 7
17.0 3
18.0 3
19.0 5
20.0 4
23.0 1
24.0 1
27.0 1
32.0 1
33.0 1
