strand_size count
1 88
5 45
6 184
7 39
11 33
12 121
13 23
17 23
18 108
19 33
23 30
24 65
25 18
29 24
30 66
31 17
35 18
36 56
37 14
41 11
42 49
43 23
47 12
48 38
49 5
53 10
54 41
55 6
59 9
60 31
61 9
65 13
66 22
67 4
71 6
72 19
73 5
77 10
78 19
79 3
83 4
84 9
85 2
89 8
90 13
91 4
95 6
96 11
97 2
101 1
102 8
103 3
107 1
108 2
109 2
113 1
114 8
115 2
119 2
120 4
121 3
126 4
127 2
131 1
132 1
138 1
139 1
143 2
144 5
150 3
155 1
156 1
161 2
162 1
163 1
167 1
168 3
180 2
181 2
187 1
193 1
199 1
210 2
222 1
