r g(r)
0.29874998331069946 0.0
0.39625000953674316 0.0
0.4937500059604645 0.0
0.5912500023841858 0.0
0.6887499690055847 0.0
0.7862499952316284 0.0
0.8837499618530273 0.01523058582097292
0.981249988079071 1.6310731172561646
1.0787498950958252 5.214938163757324
1.1762499809265137 5.444674015045166
1.2737499475479126 4.4967169761657715
1.3712499141693115 4.241063117980957
1.46875 4.237621307373047
1.566249966621399 5.303628444671631
1.6637499332427979 6.403398513793945
1.7612500190734863 7.6368818283081055
1.8587498664855957 8.6072998046875
1.9562499523162842 9.295188903808594
2.0537500381469727 8.659523010253906
2.151249885559082 7.918251037597656
2.2487497329711914 7.4467082023620605
2.346250057220459 7.775050640106201
2.4437499046325684 7.76520299911499
2.5412497520446777 7.901683807373047
2.6387500762939453 7.980084419250488
2.7362499237060547 7.900244235992432
2.833749771118164 7.978349208831787
2.9312500953674316 8.13129711151123
3.028749942779541 7.851189136505127
3.1262497901916504 7.7991790771484375
3.223749876022339 7.766512393951416
3.3212499618530273 7.855849742889404
3.4187498092651367 7.826766490936279
3.516249895095825 7.899545192718506
3.6137499809265137 7.828239440917969
3.711249828338623 8.02230453491211
3.8087496757507324 8.01901626586914
3.90625 7.967075347900391
4.003749847412109 8.081465721130371
4.101249694824219 7.998416423797607
4.198749542236328 7.902060031890869
4.296249866485596 7.938454627990723
4.393749713897705 7.813324451446533
4.491250038146973 7.932276248931885
4.588749885559082 7.992951393127441
4.686249732971191 7.885591506958008
4.783749580383301 7.847832202911377
4.881249904632568 7.922299385070801
4.978749752044678 7.844682693481445
5.076250076293945 7.857168197631836
5.173749923706055 7.795189380645752
5.271249771118164 7.851440906524658
5.368749618530273 7.823308944702148
5.466249942779541 7.864345550537109
5.56374979019165 7.7769389152526855
5.661250114440918 7.86503267288208
5.758749961853027 7.840826511383057
5.856249809265137 7.954128265380859
5.953749656677246 7.932219982147217
6.0512495040893555 7.882862567901611
6.148749828338623 7.869507789611816
6.246249675750732 7.885472774505615
6.34375 7.928072929382324
6.441249847412109 7.94504976272583
6.538749694824219 7.903730392456055
6.636249542236328 7.868621349334717
6.733749866485596 7.82364559173584
6.831249713897705 7.813432693481445
6.928750038146973 7.876840114593506
7.026249885559082 7.822798728942871
7.123749732971191 7.982281684875488
7.221249580383301 7.902902126312256
7.31874942779541 7.857333660125732
7.416249752044678 7.892849445343018
7.513749599456787 7.978305339813232
7.611249923706055 7.907323837280273
7.708749771118164 7.906387805938721
7.806249618530273 7.907278537750244
7.903749465942383 7.930475234985352
8.001249313354492 7.968135356903076
8.098749160766602 7.917724609375
8.196249008178711 7.941167831420898
8.293749809265137 7.872648239135742
8.391249656677246 7.909588813781738
8.488749504089355 7.969206809997559
8.586249351501465 7.902776718139648
8.68375015258789 7.8650336265563965
8.78125 7.858528137207031
8.87874984741211 7.873569011688232
8.976249694824219 7.923033237457275
9.073749542236328 7.902370452880859
9.171249389648438 7.93501091003418
9.268749237060547 7.871957778930664
9.366250038146973 7.975985050201416
9.463749885559082 7.877525329589844
9.561249732971191 7.935455799102783
9.6587495803833 7.881604194641113
9.75624942779541 7.856474876403809
9.85374927520752 7.908649921417236
9.951250076293945 7.928478717803955
