dangling_strand count
1 945
2 218
3 1020
4 698
5 18
6 332
7 171
8 24
9 168
10 104
11 6
12 72
13 58
14 7
15 45
16 37
17 9
18 32
19 28
20 6
21 20
22 15
23 1
24 16
25 10
26 1
27 4
28 11
29 1
30 2
32 4
33 4
34 3
36 1
37 1
38 1
41 1
42 2
45 3
46 1
48 2
50 1
51 1
52 1
55 1
58 1
73 1
primary_loop_size data
4.0 24
5.0 27
6.0 25
7.0 4
8.0 9
9.0 4
10.0 2
11.0 2
12.0 1
17.0 1
22.0 1
26.0 1
secondary_loop_size data
3.0 48
4.0 41
5.0 32
6.0 22
7.0 23
8.0 19
9.0 11
10.0 7
11.0 4
12.0 3
13.0 4
14.0 3
15.0 5
17.0 1
tertiary_loop_size data
2.0 35
3.0 40
4.0 28
5.0 23
6.0 25
7.0 19
8.0 22
9.0 13
10.0 21
11.0 9
12.0 7
13.0 6
14.0 4
15.0 4
16.0 1
17.0 3
18.0 5
19.0 2
20.0 4
21.0 2
27.0 1
quaternary_loop_size data
2.0 15
3.0 22
4.0 24
5.0 23
6.0 17
7.0 19
8.0 21
9.0 10
10.0 18
11.0 14
12.0 9
13.0 14
14.0 7
15.0 5
16.0 6
17.0 3
18.0 2
19.0 4
20.0 3
21.0 1
22.0 2
23.0 1
24.0 3
25.0 3
26.0 4
27.0 1
30.0 1
32.0 1
36.0 1
37.0 1
