dangling_strand data
1 392
5 262
7 113
10 4
11 113
13 49
14 3
16 5
17 64
18 2
19 22
20 5
22 3
23 31
24 1
25 11
26 4
28 4
29 12
30 3
31 9
32 1
34 1
35 8
36 3
37 2
40 5
41 7
43 1
44 2
46 3
47 1
48 2
49 1
50 1
53 3
54 1
59 1
60 1
69 1
71 1
primary_loop_size data
6.0 329
12.0 52
13.0 6
18.0 16
19.0 1
24.0 6
30.0 2
31.0 1
secondary_loop_size data
12.0 62
18.0 28
19.0 3
24.0 18
25.0 2
30.0 11
31.0 1
36.0 5
42.0 1
48.0 2
60.0 1
tertiary_loop_size data
12.0 2
18.0 18
24.0 27
30.0 24
36.0 13
37.0 4
42.0 6
43.0 2
48.0 4
49.0 1
55.0 1
66.0 2
72.0 1
quaternary_loop_size data
18.0 2
24.0 6
30.0 13
31.0 4
36.0 15
37.0 2
42.0 14
43.0 1
48.0 10
49.0 2
54.0 8
55.0 1
56.0 1
60.0 5
61.0 2
66.0 2
67.0 2
72.0 3
78.0 1
79.0 1
84.0 1
85.0 1
97.0 1
98.0 1
102.0 1
