dangling_strand data
1 4219
2 121
4 33
5 28
6 436
7 241
8 1
9 106
10 121
11 7
12 1
13 4
14 6
15 26
16 20
17 1
18 18
19 14
20 1
22 1
23 1
24 4
25 4
27 2
28 3
34 1
37 1
40 1
42 3
45 1
51 1
primary_loop_size data
2.0 153
4.0 12
5.0 6
6.0 99
8.0 6
9.0 1
13.0 2
16.0 1
secondary_loop_size data
1.0 124
3.0 104
4.0 31
5.0 87
6.0 2
7.0 39
8.0 26
9.0 1
10.0 8
11.0 3
12.0 10
13.0 1
19.0 1
22.0 1
24.0 1
tertiary_loop_size data
1.0 1
2.0 125
3.0 54
4.0 59
5.0 21
6.0 56
7.0 43
8.0 19
9.0 22
10.0 7
11.0 19
12.0 2
13.0 6
14.0 8
15.0 1
16.0 7
17.0 1
18.0 2
20.0 2
quaternary_loop_size data
2.0 32
3.0 38
4.0 42
5.0 30
6.0 35
7.0 30
8.0 44
9.0 22
10.0 32
11.0 10
12.0 13
13.0 8
14.0 9
15.0 17
16.0 5
17.0 4
19.0 2
21.0 1
22.0 1
23.0 2
24.0 1
27.0 2
29.0 1
32.0 1
