dangling_strand data
1 614
5 507
7 205
10 22
11 237
13 109
14 14
16 10
17 89
18 7
19 39
20 15
22 11
23 38
24 6
25 17
26 13
27 2
28 12
29 21
30 9
31 7
32 7
33 1
34 2
35 6
36 8
37 6
38 10
39 2
40 4
41 6
42 3
43 2
44 2
45 2
46 1
47 1
48 4
49 2
50 1
51 3
52 6
54 1
56 2
57 2
58 3
59 1
60 1
61 1
62 1
63 1
65 3
66 1
67 2
68 2
71 1
72 2
77 1
79 1
80 1
81 1
82 1
85 1
88 1
91 1
96 1
98 1
105 1
132 1
165 1
primary_loop_size data
6.0 226
12.0 30
13.0 13
18.0 11
19.0 4
20.0 2
24.0 1
25.0 1
26.0 3
30.0 1
31.0 1
32.0 1
36.0 1
37.0 1
secondary_loop_size data
12.0 29
18.0 23
19.0 3
24.0 6
25.0 5
30.0 4
31.0 2
36.0 5
37.0 2
39.0 2
62.0 1
tertiary_loop_size data
12.0 1
18.0 6
24.0 7
25.0 4
30.0 2
31.0 3
36.0 4
37.0 2
38.0 1
42.0 1
43.0 3
49.0 1
56.0 4
60.0 3
79.0 1
86.0 1
97.0 1
quaternary_loop_size data
24.0 5
30.0 4
31.0 2
36.0 1
37.0 2
38.0 1
42.0 6
43.0 2
44.0 2
45.0 1
48.0 3
49.0 2
50.0 2
55.0 3
56.0 1
60.0 2
62.0 2
63.0 1
67.0 3
69.0 1
73.0 1
74.0 1
81.0 1
98.0 1
101.0 1
116.0 1
