frame conversion largest_molecule average_molecule weight_average_molecule
0 0.0000000000000000 18.0000000000000000 3.6252900232018561 4.0107200000000001
1 0.0048143851508121 18.0000000000000000 3.6428280002331408 4.0588480000000002
2 0.0088747099767981 19.0000000000000000 3.6577515069936211 4.0979200000000002
3 0.0129930394431555 19.0000000000000000 3.6730136342266104 4.1463999999999999
4 0.0172853828306265 22.0000000000000000 3.6890567819619879 4.2037760000000004
5 0.0212296983758701 22.0000000000000000 3.7039231954486191 4.2447999999999997
6 0.0250000000000000 25.0000000000000000 3.7182461776429294 4.2889920000000004
7 0.0290603248259861 25.0000000000000000 3.7337953282752854 4.3416639999999997
8 0.0324825986078886 25.0000000000000000 3.7470023980815346 4.3816319999999997
9 0.0367169373549884 28.0000000000000000 3.7634732341783583 4.4277119999999996
10 0.0412993039443155 32.0000000000000000 3.7814617618586639 4.4764480000000004
11 0.0449535962877030 32.0000000000000000 3.7959307622228970 4.5135040000000002
12 0.0483178654292343 32.0000000000000000 3.8093496678247090 4.5514559999999999
13 0.0518561484918793 32.0000000000000000 3.8235653982625717 4.5853440000000001
14 0.0554524361948956 32.0000000000000000 3.8381233112257429 4.6295359999999999
15 0.0585846867749420 32.0000000000000000 3.8508934072704868 4.6598080000000000
16 0.0617169373549884 32.0000000000000000 3.8637487636003955 4.6938560000000003
17 0.0657192575406032 32.0000000000000000 3.8803004904699820 4.7361599999999999
18 0.0690255220417633 32.0000000000000000 3.8940809968847354 4.7805759999999999
19 0.0732018561484919 32.0000000000000000 3.9116284891726125 4.8429440000000001
20 0.0766241299303944 32.0000000000000000 3.9261260129405113 4.8854400000000000
21 0.0805684454756380 32.0000000000000000 3.9429688978613338 4.9395199999999999
22 0.0845707656612529 32.0000000000000000 3.9602078317070082 4.9852480000000003
23 0.0883410672853828 34.0000000000000000 3.9765858624419419 5.0285440000000001
24 0.0917633410672854 34.0000000000000000 3.9915698045727424 5.0773120000000000
25 0.0951856148491879 34.0000000000000000 4.0066670940444897 5.1128960000000001
26 0.0988399071925754 34.0000000000000000 4.0229145211122557 5.1576000000000004
27 0.1015081206496520 34.0000000000000000 4.0348612007746931 5.1927040000000000
28 0.1052204176334107 34.0000000000000000 4.0516011927913915 5.2542400000000002
29 0.1086426914153132 36.0000000000000000 4.0671568946443681 5.3087679999999997
30 0.1122389791183295 36.0000000000000000 4.0836327997386475 5.3629119999999997
31 0.1157192575406032 36.0000000000000000 4.0997048212528702 5.4366079999999997
32 0.1194315545243620 36.0000000000000000 4.1169883406890193 5.4886080000000002
33 0.1234918793503480 36.0000000000000000 4.1360598239692941 5.5578240000000001
34 0.1271461716937355 36.0000000000000000 4.1533758639021796 5.6237120000000003
35 0.1302204176334107 45.0000000000000000 4.1680560186728908 5.6928960000000002
36 0.1339907192575406 45.0000000000000000 4.1862022772940390 5.7424320000000000
37 0.1375870069605568 45.0000000000000000 4.2036588646758135 5.8205119999999999
38 0.1411832946635731 45.0000000000000000 4.2212616506821563 5.8642880000000002
39 0.1437935034802784 54.0000000000000000 4.2341304789648397 5.9448960000000000
40 0.1472157772621810 54.0000000000000000 4.2511222962862192 6.0408960000000000
41 0.1512180974477958 54.0000000000000000 4.2711679081528056 6.1019199999999998
42 0.1544663573085847 54.0000000000000000 4.2875763188584761 6.1697920000000002
43 0.1574245939675174 54.0000000000000000 4.3026297673137819 6.2122560000000000
44 0.1606148491879350 54.0000000000000000 4.3189827931725517 6.2681600000000000
45 0.1639791183294664 54.0000000000000000 4.3363630056199263 6.3129280000000003
46 0.1662412993039443 54.0000000000000000 4.3481285654654238 6.3716799999999996
47 0.1697215777262181 54.0000000000000000 4.3663546178566435 6.4165760000000001
48 0.1729698375870070 54.0000000000000000 4.3835039977556463 6.4797120000000001
49 0.1764501160092807 54.0000000000000000 4.4020284547119308 6.5416960000000000
50 0.1791183294663573 54.0000000000000000 4.4163369135104578 6.5883839999999996
51 0.1823665893271462 54.0000000000000000 4.4338819523269013 6.6431680000000002
52 0.1853248259860789 54.0000000000000000 4.4499822000711999 6.6942399999999997
53 0.1886310904872390 58.0000000000000000 4.4681155275950815 6.7579840000000004
54 0.1910092807424594 58.0000000000000000 4.4812504481250448 6.7949440000000001
55 0.1940835266821346 58.0000000000000000 4.4983446091838202 6.8556480000000004
56 0.1966357308584687 58.0000000000000000 4.5126353790613720 6.9148800000000001
57 0.1997679814385151 58.0000000000000000 4.5302986372861698 6.9734400000000001
58 0.2026102088167053 58.0000000000000000 4.5464464974176186 7.0084479999999996
59 0.2055684454756380 77.0000000000000000 4.5633761682242993 7.0973439999999997
60 0.2096867749419954 77.0000000000000000 4.5871559633027523 7.1720639999999998
61 0.2126450116009281 77.0000000000000000 4.6043907470163550 7.2254079999999998
62 0.2158932714617169 77.0000000000000000 4.6234650096168073 7.3351360000000003
63 0.2187354988399072 77.0000000000000000 4.6402850991164897 7.4006080000000001
64 0.2211136890951276 77.0000000000000000 4.6544533809949362 7.4600640000000000
65 0.2238399071925754 95.0000000000000000 4.6708018832673197 7.6121920000000003
66 0.2269141531322506 95.0000000000000000 4.6893757503001199 7.6913280000000004
67 0.2296403712296984 95.0000000000000000 4.7059709359234994 7.7542400000000002
68 0.2322505800464037 95.0000000000000000 4.7219703838017528 7.8154560000000002
69 0.2352088167053364 95.0000000000000000 4.7402351156617364 7.8662400000000003
70 0.2380510440835267 95.0000000000000000 4.7579171741778321 7.9135999999999997
71 0.2407192575406032 95.0000000000000000 4.7746371275783037 7.9845759999999997
72 0.2441415313225058 95.0000000000000000 4.7962550840303892 8.0973120000000005
73 0.2470417633410673 95.0000000000000000 4.8147292196286884 8.1948159999999994
74 0.2504060324825986 95.0000000000000000 4.8363383115375687 8.2896319999999992
75 0.2526102088167053 95.0000000000000000 4.8506014745828478 8.3665920000000007
76 0.2556844547563805 95.0000000000000000 4.8706359102244390 8.4743680000000001
77 0.2579466357308585 101.0000000000000000 4.8854842491987807 8.5348480000000002
78 0.2609048723897912 101.0000000000000000 4.9050384555014910 8.6378559999999993
79 0.2636890951276102 101.0000000000000000 4.9235859461162752 8.6905599999999996
80 0.2657192575406033 101.0000000000000000 4.9371988308713171 8.7351360000000007
81 0.2687935034802784 101.0000000000000000 4.9579565286371565 8.8254719999999995
82 0.2719837587006961 101.0000000000000000 4.9796828937933233 8.8947839999999996
83 0.2740719257540603 101.0000000000000000 4.9940071913703559 8.9367999999999999
84 0.2767401392111369 101.0000000000000000 5.0124308284545673 8.9853760000000005
85 0.2794663573085847 101.0000000000000000 5.0313959104814039 9.0662079999999996
86 0.2824245939675174 101.0000000000000000 5.0521380648290357 9.1304960000000008
87 0.2852088167053364 101.0000000000000000 5.0718169276961778 9.1979199999999999
88 0.2878190255220417 101.0000000000000000 5.0904056035184881 9.2997119999999995
89 0.2911252900232019 105.0000000000000000 5.1141477784142051 9.4113279999999992
90 0.2945475638051044 105.0000000000000000 5.1389574083209997 9.5371199999999998
91 0.2975638051044083 105.0000000000000000 5.1610239471511150 9.6308159999999994
92 0.3005220417633411 105.0000000000000000 5.1828509826685467 9.7952639999999995
93 0.3041183294663573 105.0000000000000000 5.2096357422689001 9.8949119999999997
94 0.3062645011600928 105.0000000000000000 5.2257525083612038 10.0177920000000000
95 0.3085846867749420 105.0000000000000000 5.2432885906040267 10.1040960000000002
96 0.3113109048723898 105.0000000000000000 5.2640444706476881 10.1739840000000008
97 0.3139791183294663 105.0000000000000000 5.2845184746765872 10.2423999999999999
98 0.3162993039443155 105.0000000000000000 5.3024518537371677 10.3083200000000001
99 0.3191415313225058 105.0000000000000000 5.3245868120633837 10.4110720000000008
100 0.3208816705336427 105.0000000000000000 5.3382302699009223 10.4978560000000005
101 0.3234338747099768 105.0000000000000000 5.3583676268861451 10.6114879999999996
102 0.3255220417633410 105.0000000000000000 5.3749570003439970 10.6699839999999995
103 0.3283642691415313 105.0000000000000000 5.3977027377148286 10.7638400000000001
104 0.3303364269141532 105.0000000000000000 5.4135989605889998 10.8826560000000008
105 0.3327726218097448 105.0000000000000000 5.4333652090758928 10.9623360000000005
106 0.3353828306264501 105.0000000000000000 5.4547041368476172 11.0730240000000002
107 0.3378770301624130 105.0000000000000000 5.4752518615856332 11.1777920000000002
108 0.3395591647331787 105.0000000000000000 5.4891972597927277 11.2729599999999994
109 0.3422853828306264 105.0000000000000000 5.5119499073992415 11.4149119999999993
110 0.3443735498839907 105.0000000000000000 5.5295054410333542 11.4670719999999999
111 0.3468677494199536 105.0000000000000000 5.5506216696269979 11.5642239999999994
112 0.3486658932714617 105.0000000000000000 5.5659453201531752 11.6384960000000000
113 0.3513341067285383 105.0000000000000000 5.5888402038808902 11.6963840000000001
114 0.3531902552204176 105.0000000000000000 5.6048784862344183 11.8138240000000003
115 0.3555684454756380 105.0000000000000000 5.6255625562556260 11.8831679999999995
116 0.3580626450116010 105.0000000000000000 5.6474202584259512 11.9524799999999995
117 0.3605568445475638 107.0000000000000000 5.6694484760522492 12.1131519999999995
118 0.3630510440835267 107.0000000000000000 5.6916492122757489 12.1922560000000004
119 0.3650812064965197 107.0000000000000000 5.7098483464279193 12.3174399999999995
120 0.3674593967517402 107.0000000000000000 5.7313159101329667 12.3584320000000005
121 0.3704756380510441 110.0000000000000000 5.7587763751957981 12.5286720000000003
122 0.3725058004640371 110.0000000000000000 5.7774080236642629 12.5754880000000000
123 0.3753480278422274 112.0000000000000000 5.8036957934812889 12.7123519999999992
124 0.3782482598607889 112.0000000000000000 5.8307677955033119 12.8363200000000006
125 0.3808584686774942 112.0000000000000000 5.8553494472550121 12.9397760000000002
126 0.3832366589327146 112.0000000000000000 5.8779272077494591 13.0402559999999994
127 0.3855568445475638 112.0000000000000000 5.9001227225526289 13.1094399999999993
128 0.3875290023201856 112.0000000000000000 5.9191211288947816 13.1819520000000008
129 0.3900812064965197 112.0000000000000000 5.9438896814075131 13.2458559999999999
130 0.3923433874709977 112.0000000000000000 5.9660175639557087 13.3274880000000007
131 0.3946635730858469 112.0000000000000000 5.9888846301264849 13.4706880000000009
132 0.3975058004640371 112.0000000000000000 6.0171368056224130 13.5568320000000000
133 0.4000000000000000 112.0000000000000000 6.0421500386697602 13.6703679999999999
134 0.4024361948955916 112.0000000000000000 6.0667831489031254 13.7955520000000007
135 0.4048723897911833 115.0000000000000000 6.0916179337231968 13.9719680000000004
136 0.4077146171693736 115.0000000000000000 6.1208500636568406 14.1375360000000008
137 0.4098027842227378 115.0000000000000000 6.1425061425061429 14.2069440000000000
138 0.4121229698375870 118.0000000000000000 6.1667488899851994 14.3331520000000001
139 0.4138631090487239 118.0000000000000000 6.1850569025235034 14.3959039999999998
140 0.4155452436194896 118.0000000000000000 6.2028582770940845 14.5234880000000004
141 0.4172273781902552 118.0000000000000000 6.2207624166417839 14.5764800000000001
142 0.4186774941995360 118.0000000000000000 6.2362801835960884 14.7696959999999997
143 0.4203596287703016 122.0000000000000000 6.2543780646452518 14.9386880000000009
144 0.4224477958236659 161.0000000000000000 6.2769910615647282 15.2582719999999998
145 0.4248259860788863 161.0000000000000000 6.3029447357805566 15.4524159999999995
146 0.4266821345707656 161.0000000000000000 6.3233508700930798 15.5665600000000008
147 0.4285382830626450 161.0000000000000000 6.3438895655704428 15.7067519999999998
148 0.4298143851508121 161.0000000000000000 6.3580874872838251 15.8468160000000005
149 0.4314965197215777 161.0000000000000000 6.3769003162942557 15.9059200000000001
150 0.4332946635730858 161.0000000000000000 6.3971340839303990 15.9939199999999992
151 0.4353248259860789 161.0000000000000000 6.4201335387776064 16.1038719999999991
152 0.4369489559164733 161.0000000000000000 6.4386525188008656 16.2239040000000010
153 0.4388631090487239 161.0000000000000000 6.4606160843498035 16.3375039999999991
154 0.4405452436194895 161.0000000000000000 6.4800414722654223 16.4620479999999993
155 0.4425174013921114 165.0000000000000000 6.5029653522006035 16.5553600000000003
156 0.4447215777262181 165.0000000000000000 6.5287788572025489 16.6415679999999995
157 0.4469257540603248 165.0000000000000000 6.5547981122181440 16.9391679999999987
158 0.4482598607888631 165.0000000000000000 6.5706476030277541 16.9996480000000005
159 0.4499419953596288 165.0000000000000000 6.5907413265844141 17.0983680000000007
160 0.4515081206496520 165.0000000000000000 6.6095600676818949 17.2314240000000005
161 0.4532482598607889 165.0000000000000000 6.6305962232123914 17.3499839999999992
162 0.4552784222737819 197.0000000000000000 6.6553082738792462 17.6820480000000018
163 0.4569025522041764 197.0000000000000000 6.6752109366655983 17.8761599999999987
164 0.4581206496519721 197.0000000000000000 6.6902162277884818 17.9303039999999996
165 0.4599187935034803 197.0000000000000000 6.7124906025131565 18.0326079999999997
166 0.4613109048723898 197.0000000000000000 6.7298374071282439 18.1915839999999989
167 0.4630510440835267 197.0000000000000000 6.7516474019660802 18.2930239999999991
168 0.4647911832946636 197.0000000000000000 6.7735992196813699 18.4959360000000004
169 0.4661832946635731 213.0000000000000000 6.7912637183527114 18.9664959999999994
170 0.4676334106728539 213.0000000000000000 6.8097624754848551 19.0835520000000010
171 0.4689095127610209 213.0000000000000000 6.8261249453910002 19.1590400000000010
172 0.4703596287703016 213.0000000000000000 6.8448143686343226 19.5199360000000013
173 0.4721577726218097 213.0000000000000000 6.8681318681318677 19.7193280000000009
