dangling_strand data
1 622
5 503
7 203
10 20
11 239
13 106
14 13
16 12
17 89
18 8
19 40
20 18
22 11
23 36
24 6
25 16
26 13
27 1
28 12
29 22
30 10
31 4
32 8
33 2
34 3
35 6
36 11
37 6
38 9
39 2
40 5
41 5
42 2
43 2
44 2
45 2
46 1
47 1
48 4
49 2
50 3
51 4
52 5
53 1
54 1
55 1
56 3
57 1
58 3
59 2
60 1
61 1
62 1
63 1
65 4
66 1
67 1
68 2
71 3
72 2
79 1
81 1
82 1
85 2
88 1
91 1
93 1
94 1
96 1
103 1
105 1
132 1
165 1
primary_loop_size data
6.0 220
12.0 29
13.0 13
18.0 11
19.0 4
20.0 2
24.0 1
25.0 1
26.0 2
30.0 1
31.0 1
32.0 1
36.0 1
secondary_loop_size data
12.0 26
18.0 23
19.0 2
24.0 5
25.0 4
30.0 4
31.0 2
36.0 5
37.0 2
39.0 1
44.0 1
62.0 1
87.0 1
tertiary_loop_size data
12.0 3
18.0 5
24.0 6
25.0 2
30.0 1
31.0 2
36.0 3
37.0 2
38.0 1
42.0 1
43.0 2
49.0 1
50.0 1
56.0 4
60.0 3
64.0 1
79.0 1
quaternary_loop_size data
24.0 4
30.0 4
31.0 2
36.0 1
37.0 2
38.0 1
42.0 6
43.0 2
44.0 3
45.0 1
48.0 3
49.0 1
50.0 1
55.0 2
56.0 3
60.0 1
62.0 2
64.0 1
67.0 2
69.0 1
74.0 1
81.0 1
