loop_size count
5 144
6 113
7 218
8 69
9 141
10 110
11 103
12 102
13 93
14 104
15 114
16 114
17 123
18 124
19 115
20 123
21 163
22 144
23 163
24 181
25 181
26 238
27 230
28 263
29 289
30 342
31 393
32 417
33 479
34 538
35 613
36 746
37 839
38 939
39 1084
40 1226
41 1396
42 1633
43 1922
44 2204
45 2512
46 2956
47 3293
48 3923
49 4536
50 5339
