r g(r)
0.29874998331069946 0.0
0.39625000953674316 0.0
0.4937500059604645 0.0
0.5912500023841858 0.0
0.6887499690055847 0.0
0.7862499952316284 0.0
0.8837499618530273 0.003892643144354224
0.981249988079071 0.5147722363471985
1.0787498950958252 1.6725802421569824
1.1762499809265137 1.601129174232483
1.2737499475479126 1.406751275062561
1.3712499141693115 1.3233696222305298
1.46875 1.4088164567947388
1.566249966621399 1.7006852626800537
1.6637499332427979 2.048020839691162
1.7612500190734863 2.3912484645843506
1.8587498664855957 2.6630802154541016
1.9562499523162842 2.814549446105957
2.0537500381469727 2.7756457328796387
2.151249885559082 2.459886312484741
2.2487497329711914 2.3190219402313232
2.346250057220459 2.383661985397339
2.4437499046325684 2.4009251594543457
2.5412497520446777 2.3793492317199707
2.6387500762939453 2.361053705215454
2.7362499237060547 2.373422145843506
2.833749771118164 2.371448040008545
2.9312500953674316 2.357987642288208
3.028749942779541 2.3576889038085938
3.1262497901916504 2.347438097000122
3.223749876022339 2.3155548572540283
3.3212499618530273 2.3017919063568115
3.4187498092651367 2.3496906757354736
3.516249895095825 2.363957405090332
3.6137499809265137 2.3639535903930664
3.711249828338623 2.3385283946990967
3.8087496757507324 2.352631092071533
3.90625 2.3650319576263428
4.003749847412109 2.3383307456970215
4.101249694824219 2.3875105381011963
4.198749542236328 2.3756065368652344
4.296249866485596 2.3605830669403076
4.393749713897705 2.3525619506835938
4.491250038146973 2.3495359420776367
4.588749885559082 2.3478853702545166
4.686249732971191 2.343961000442505
4.783749580383301 2.3477816581726074
4.881249904632568 2.3126306533813477
4.978749752044678 2.3336031436920166
5.076250076293945 2.3373188972473145
5.173749923706055 2.359328031539917
5.271249771118164 2.349957227706909
5.368749618530273 2.3583552837371826
5.466249942779541 2.3564963340759277
5.56374979019165 2.351677656173706
5.661250114440918 2.3551769256591797
5.758749961853027 2.3523645401000977
5.856249809265137 2.3469254970550537
5.953749656677246 2.3746814727783203
6.0512495040893555 2.363152027130127
6.148749828338623 2.3747494220733643
6.246249675750732 2.3539481163024902
6.34375 2.35992693901062
6.441249847412109 2.352212905883789
6.538749694824219 2.3513758182525635
6.636249542236328 2.3578429222106934
6.733749866485596 2.3515262603759766
6.831249713897705 2.357374429702759
6.928750038146973 2.3557746410369873
7.026249885559082 2.3650271892547607
7.123749732971191 2.357328414916992
7.221249580383301 2.3677890300750732
7.31874942779541 2.370359182357788
7.416249752044678 2.3691654205322266
7.513749599456787 2.379256010055542
7.611249923706055 2.3713126182556152
7.708749771118164 2.366809844970703
7.806249618530273 2.366569995880127
7.903749465942383 2.363032341003418
8.001249313354492 2.3726143836975098
8.098749160766602 2.3632068634033203
8.196249008178711 2.3558950424194336
8.293749809265137 2.3574373722076416
8.391249656677246 2.3402867317199707
8.488749504089355 2.3603789806365967
8.586249351501465 2.349604845046997
8.68375015258789 2.358607769012451
8.78125 2.359015703201294
8.87874984741211 2.3602993488311768
8.976249694824219 2.358308792114258
9.073749542236328 2.3612923622131348
9.171249389648438 2.3616392612457275
9.268749237060547 2.356473922729492
9.366250038146973 2.3575196266174316
9.463749885559082 2.3520264625549316
9.561249732971191 2.360004186630249
9.6587495803833 2.357048511505127
9.75624942779541 2.3511228561401367
9.85374927520752 2.354952812194824
9.951250076293945 2.354269504547119
