dangling_strand count
1 3425
2 457
3 183
4 254
5 76
6 437
7 270
8 14
9 109
10 120
11 25
12 29
13 24
14 14
15 28
16 31
17 3
18 22
19 19
20 7
21 4
22 5
23 3
24 8
25 9
26 1
27 5
28 5
29 1
30 2
31 2
33 1
36 1
37 4
40 1
43 1
47 1
48 1
51 1
53 1
primary_loop_size data
4.0 10
5.0 8
6.0 79
7.0 2
8.0 15
9.0 3
10.0 2
11.0 1
13.0 3
secondary_loop_size data
3.0 80
4.0 29
5.0 76
6.0 6
7.0 32
8.0 13
9.0 8
10.0 5
11.0 5
12.0 4
13.0 3
14.0 3
16.0 2
17.0 2
18.0 2
19.0 1
27.0 1
tertiary_loop_size data
2.0 55
3.0 59
4.0 39
5.0 18
6.0 51
7.0 30
8.0 12
9.0 14
10.0 10
11.0 12
12.0 6
13.0 7
14.0 7
15.0 8
16.0 1
17.0 2
18.0 1
20.0 1
21.0 1
25.0 1
27.0 1
28.0 1
quaternary_loop_size data
2.0 26
3.0 31
4.0 39
5.0 32
6.0 22
7.0 29
8.0 26
9.0 17
10.0 16
11.0 14
12.0 12
13.0 10
14.0 6
15.0 5
16.0 8
17.0 4
18.0 4
19.0 3
20.0 7
21.0 4
23.0 1
24.0 1
25.0 2
26.0 2
