dangling_strand count
1 3538
2 532
3 224
4 273
5 86
6 450
7 274
8 21
9 109
10 147
11 26
12 22
13 32
14 9
15 33
16 33
17 2
18 12
19 16
20 5
21 4
22 13
23 6
24 4
25 5
26 2
27 1
28 4
29 1
30 1
31 2
33 2
34 2
35 2
36 2
39 1
40 1
42 1
44 2
56 1
primary_loop_size data
4.0 8
5.0 5
6.0 69
7.0 2
8.0 10
9.0 9
11.0 2
13.0 3
14.0 1
16.0 2
28.0 1
secondary_loop_size data
3.0 64
4.0 27
5.0 66
6.0 6
7.0 33
8.0 27
9.0 9
10.0 6
11.0 2
12.0 6
15.0 2
16.0 1
17.0 1
19.0 1
20.0 1
22.0 1
tertiary_loop_size data
1.0 1
2.0 49
3.0 49
4.0 45
5.0 18
6.0 50
7.0 29
8.0 18
9.0 12
10.0 12
11.0 12
12.0 4
13.0 7
14.0 5
15.0 1
16.0 2
17.0 2
18.0 1
19.0 1
20.0 1
21.0 1
23.0 1
24.0 1
25.0 1
quaternary_loop_size data
2.0 20
3.0 24
4.0 30
5.0 35
6.0 19
7.0 28
8.0 35
9.0 29
10.0 13
11.0 14
12.0 12
13.0 12
14.0 9
15.0 4
16.0 9
17.0 6
18.0 3
19.0 4
20.0 4
21.0 1
22.0 2
23.0 1
24.0 1
25.0 2
26.0 1
27.0 1
