r g(r)
0.29874998331069946 0.0
0.39625000953674316 0.0
0.4937500059604645 0.0
0.5912500023841858 0.0
0.6887499690055847 0.0
0.7862499952316284 0.0
0.8837499618530273 0.0
0.981249988079071 0.5244634747505188
1.0787498950958252 1.5741292238235474
1.1762499809265137 1.6508125066757202
1.2737499475479126 1.352895975112915
1.3712499141693115 1.2447209358215332
1.46875 1.33360755443573
1.566249966621399 1.6374101638793945
1.6637499332427979 1.9915204048156738
1.7612500190734863 2.39543080329895
1.8587498664855957 2.6130242347717285
1.9562499523162842 2.8872463703155518
2.0537500381469727 2.7506306171417236
2.151249885559082 2.433774471282959
2.2487497329711914 2.343912363052368
2.346250057220459 2.3704659938812256
2.4437499046325684 2.389442205429077
2.5412497520446777 2.2825961112976074
2.6387500762939453 2.326711416244507
2.7362499237060547 2.3390400409698486
2.833749771118164 2.337568521499634
2.9312500953674316 2.314309597015381
3.028749942779541 2.3306946754455566
3.1262497901916504 2.3258895874023438
3.223749876022339 2.277550458908081
3.3212499618530273 2.303691864013672
3.4187498092651367 2.3126416206359863
3.516249895095825 2.3048288822174072
3.6137499809265137 2.3232645988464355
3.711249828338623 2.332029342651367
3.8087496757507324 2.3559296131134033
3.90625 2.337252616882324
4.003749847412109 2.328839063644409
4.101249694824219 2.3563082218170166
4.198749542236328 2.3487517833709717
4.296249866485596 2.3104662895202637
4.393749713897705 2.327594757080078
4.491250038146973 2.301697254180908
4.588749885559082 2.29775071144104
4.686249732971191 2.3235902786254883
4.783749580383301 2.319871664047241
4.881249904632568 2.358346700668335
4.978749752044678 2.3414039611816406
5.076250076293945 2.325197458267212
5.173749923706055 2.3248257637023926
5.271249771118164 2.3254685401916504
5.368749618530273 2.3171544075012207
5.466249942779541 2.3447093963623047
5.56374979019165 2.346994638442993
5.661250114440918 2.313772678375244
5.758749961853027 2.319788694381714
5.856249809265137 2.3266704082489014
5.953749656677246 2.332530975341797
6.0512495040893555 2.321690797805786
6.148749828338623 2.3388564586639404
6.246249675750732 2.3271188735961914
6.34375 2.3269667625427246
6.441249847412109 2.332858085632324
6.538749694824219 2.3343827724456787
6.636249542236328 2.3294851779937744
6.733749866485596 2.3255109786987305
6.831249713897705 2.3044891357421875
6.928750038146973 2.330343008041382
7.026249885559082 2.3280694484710693
7.123749732971191 2.3148953914642334
7.221249580383301 2.3277814388275146
7.31874942779541 2.332345724105835
7.416249752044678 2.3359134197235107
7.513749599456787 2.337730884552002
7.611249923706055 2.328958749771118
7.708749771118164 2.331552267074585
7.806249618530273 2.3306097984313965
7.903749465942383 2.326476812362671
8.001249313354492 2.3288614749908447
8.098749160766602 2.3371710777282715
8.196249008178711 2.3304390907287598
8.293749809265137 2.3424363136291504
8.391249656677246 2.3277809619903564
8.488749504089355 2.337419271469116
8.586249351501465 2.335678815841675
8.68375015258789 2.3298447132110596
8.78125 2.323704242706299
8.87874984741211 2.3259024620056152
8.976249694824219 2.32847261428833
9.073749542236328 2.3210179805755615
9.171249389648438 2.3286962509155273
9.268749237060547 2.329512596130371
9.366250038146973 2.3313210010528564
9.463749885559082 2.332242965698242
9.561249732971191 2.33923602104187
9.6587495803833 2.333380937576294
9.75624942779541 2.329594135284424
9.85374927520752 2.3343145847320557
9.951250076293945 2.333949089050293
