strand_size count
1 101
5 36
6 203
7 35
11 35
12 136
13 30
17 26
18 99
19 21
23 30
24 81
25 22
29 27
30 63
31 14
35 9
36 45
37 10
41 12
42 40
43 17
47 16
48 30
49 10
53 12
54 28
55 10
59 4
60 26
61 8
65 9
66 20
67 2
71 6
72 19
73 5
77 3
78 22
79 4
83 7
84 12
85 4
89 4
90 10
91 2
95 8
96 11
97 3
101 1
102 12
103 3
107 4
108 7
109 2
113 2
114 5
115 4
119 1
120 5
125 2
126 3
131 1
132 2
137 2
138 3
143 1
144 3
149 1
150 1
156 2
157 1
161 1
162 4
168 2
173 1
174 4
175 1
180 2
186 1
192 2
198 1
209 1
211 1
