dangling_strand data
1 79
5 29
7 29
11 24
13 25
17 22
19 20
23 30
25 18
29 22
31 12
35 7
37 10
38 1
41 9
43 14
47 14
48 2
49 9
53 9
55 9
59 3
61 8
65 7
67 1
71 6
72 1
73 5
77 3
79 4
83 4
85 4
89 3
91 2
92 1
95 6
97 3
101 1
103 3
107 4
109 2
113 2
115 4
116 1
118 1
119 1
125 2
126 1
131 1
134 1
136 1
137 2
143 1
146 2
149 1
157 1
158 1
165 1
170 1
171 1
173 1
175 1
192 1
194 1
209 1
211 1
219 1
233 1
267 1
289 1
464 1
primary_loop_size data
6.0 78
12.0 21
18.0 9
24.0 7
25.0 1
30.0 3
31.0 1
36.0 2
37.0 1
38.0 1
42.0 1
48.0 1
55.0 1
60.0 1
66.0 1
secondary_loop_size data
12.0 3
24.0 2
30.0 3
36.0 2
42.0 5
48.0 1
66.0 2
72.0 2
78.0 1
102.0 1
198.0 1
tertiary_loop_size data
18.0 1
24.0 1
36.0 2
84.0 1
102.0 1
109.0 2
120.0 1
164.0 1
170.0 1
quaternary_loop_size data
54.0 1
102.0 1
108.0 1
114.0 1
174.0 1
180.0 1
181.0 1
240.0 1
306.0 1
