dangling_strand count
1 2860
2 533
3 366
4 353
5 83
6 453
7 296
8 36
9 107
10 120
11 40
12 45
13 38
14 22
15 40
16 41
17 5
18 11
19 21
20 10
21 11
22 9
23 4
24 10
25 7
26 3
27 3
28 7
30 1
31 1
32 1
33 1
34 3
35 2
36 1
37 1
38 2
39 1
51 2
primary_loop_size data
4.0 23
5.0 14
6.0 56
7.0 9
8.0 15
9.0 9
10.0 2
11.0 1
12.0 1
13.0 1
14.0 1
15.0 3
secondary_loop_size data
3.0 80
4.0 35
5.0 66
6.0 6
7.0 32
8.0 25
9.0 9
10.0 6
11.0 5
12.0 9
13.0 2
14.0 2
15.0 6
16.0 1
17.0 1
18.0 2
22.0 1
tertiary_loop_size data
2.0 50
3.0 50
4.0 41
5.0 24
6.0 26
7.0 24
8.0 14
9.0 15
10.0 19
11.0 11
12.0 7
13.0 5
14.0 2
15.0 5
16.0 5
17.0 8
18.0 4
19.0 3
21.0 2
22.0 2
23.0 1
37.0 1
quaternary_loop_size data
2.0 14
3.0 16
4.0 27
5.0 21
6.0 18
7.0 25
8.0 24
9.0 17
10.0 14
11.0 14
12.0 10
13.0 18
14.0 9
15.0 8
16.0 4
17.0 7
18.0 2
19.0 2
20.0 3
21.0 1
24.0 1
25.0 2
26.0 1
