dangling_strand data
1 66
5 42
7 34
11 37
13 27
14 1
17 27
19 32
22 1
23 24
25 17
26 1
29 21
31 12
32 1
34 2
35 15
36 1
37 11
38 1
40 1
41 12
43 5
47 10
49 10
50 1
53 5
55 9
58 1
59 13
61 1
62 1
65 3
67 5
71 4
73 3
76 1
77 2
79 2
83 4
85 2
86 1
89 3
91 3
93 1
94 1
95 3
96 1
97 1
101 1
103 1
106 1
107 6
108 2
109 1
110 1
113 4
115 1
116 1
120 1
125 2
127 1
130 1
131 1
133 2
136 2
137 4
138 2
146 1
149 1
155 3
156 1
162 1
164 1
167 1
169 2
174 1
180 1
200 1
219 1
222 1
224 1
229 1
238 1
246 1
257 1
280 1
489 1
primary_loop_size data
6.0 58
12.0 16
18.0 8
24.0 5
30.0 1
31.0 1
36.0 3
37.0 1
42.0 2
48.0 1
60.0 1
84.0 1
secondary_loop_size data
12.0 5
18.0 3
24.0 1
30.0 2
36.0 3
54.0 1
60.0 1
66.0 1
91.0 1
116.0 1
120.0 1
127.0 1
tertiary_loop_size data
30.0 2
36.0 1
37.0 1
42.0 1
49.0 1
55.0 1
79.0 1
84.0 1
114.0 1
121.0 1
126.0 1
145.0 1
quaternary_loop_size data
96.0 1
132.0 1
189.0 1
230.0 1
302.0 1
304.0 1
