strand_size count
1 145
2 31
4 65
5 73
6 428
7 84
8 12
10 21
11 81
12 165
13 64
14 8
16 7
17 56
18 106
19 50
20 12
22 6
23 56
24 69
25 41
26 3
28 13
29 34
30 62
31 29
32 6
34 7
35 32
36 63
37 29
38 4
40 1
41 21
42 32
43 23
44 1
46 6
47 29
48 33
49 12
50 3
52 1
53 11
54 26
55 17
56 1
58 3
59 13
60 17
61 12
62 3
64 1
65 11
66 20
67 8
68 1
70 1
71 9
72 13
73 6
74 1
76 1
77 6
78 9
79 3
80 1
83 7
84 7
85 6
86 1
88 1
89 5
90 8
91 7
95 4
96 6
97 3
98 1
101 2
102 8
103 3
106 1
108 6
109 2
113 2
114 5
115 6
119 3
120 1
121 4
125 3
126 6
127 1
132 1
133 1
134 1
138 3
143 2
144 1
145 1
150 3
155 1
160 1
161 1
162 1
168 1
180 1
185 1
192 1
250 1
378 1
