cluster_size count
42819 1
1336 1
502 1
328 1
271 1
270 1
269 1
259 1
250 1
198 1
191 1
181 1
180 1
162 1
160 1
157 2
153 1
150 1
148 1
143 1
134 1
133 1
132 2
126 2
125 1
124 1
115 2
109 1
106 1
101 1
99 1
98 2
96 2
95 1
93 1
90 4
88 1
86 1
84 1
81 1
80 1
79 1
78 1
77 1
76 1
75 1
74 1
73 1
72 2
70 1
68 1
67 1
66 5
65 3
64 1
63 1
62 2
60 4
58 3
56 1
55 2
54 4
52 1
50 3
49 1
48 7
46 6
44 1
43 1
42 6
40 1
38 5
37 2
36 8
34 7
33 1
32 6
30 5
29 1
28 13
27 1
26 4
25 1
24 14
22 6
21 1
20 11
18 19
16 7
15 1
14 8
12 50
10 21
8 11
6 231
4 65
2 33
