dangle_size count
2 33
4 65
5 55
6 231
7 66
8 11
10 21
11 65
12 50
13 51
14 8
15 1
16 7
17 44
18 19
19 36
20 11
21 1
22 6
23 45
24 14
25 32
26 4
27 1
28 13
29 27
30 5
31 19
32 6
33 1
34 7
35 24
36 8
37 29
38 5
40 1
41 18
42 6
43 19
44 1
46 6
47 25
48 7
49 11
50 3
52 1
53 8
54 4
55 17
56 1
58 3
59 10
60 4
61 9
62 2
63 1
64 1
65 14
66 5
67 9
68 1
70 1
71 8
72 2
73 6
74 1
75 1
76 1
77 6
78 1
79 3
80 1
81 1
83 7
84 1
85 5
86 1
88 1
89 5
90 4
91 3
93 1
95 5
96 2
97 2
98 2
99 1
101 2
103 3
106 1
109 2
113 2
115 7
119 2
121 3
124 1
125 4
126 2
132 2
133 2
134 1
143 2
145 1
148 1
150 1
153 1
155 1
157 2
160 1
161 1
162 1
180 1
181 1
185 1
191 1
198 1
250 1
259 1
269 1
270 1
271 1
328 1
502 1
1336 1
