0,0
0,1
0,2
0,3
0,4
0,5
1572,6
0,7
0,8
0,9
0,10
0,11
704,12
100,13
0,14
0,15
0,16
0,17
336,18
82,19
7,20
0,21
0,22
0,23
158,24
71,25
7,26
0,27
0,28
0,29
76,30
32,31
14,32
0,33
1,34
0,35
48,36
20,37
8,38
0,39
0,40
0,41
30,42
18,43
7,44
2,45
0,46
0,47
9,48
17,49
4,50
1,51
0,52
0,53
4,54
6,55
1,56
0,57
0,58
0,59
4,60
3,61
2,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
1,70
0,71
2,72
2,73
1,74
0,75
0,76
0,77
0,78
1,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
1,97
