frame thiol_conversion ene_conversion
0 0.004425446316318804 0.00280828443909531
1 0.0082977118430978 0.00992929140965848
2 0.0126225798340458 0.014542901559600807
3 0.016142821222026704 0.01815355298129484
4 0.020266532562232875 0.021563612657339193
5 0.02413879808901187 0.02617722280728152
6 0.028011063615790754 0.029537134546913424
7 0.03117928086497357 0.0326463066044832
8 0.035403570530550654 0.037059325008775845
9 0.03927583605732965 0.04127175166741892
10 0.042594920794568725 0.044230479915751464
11 0.04641689715866226 0.04819216689233241
12 0.04953482524515962 0.05125119101348985
13 0.05370882574805125 0.055413469735720366
14 0.057178777973346695 0.05857278972970259
15 0.06100075433744023 0.06248432876987109
16 0.0645712848881066 0.0662955719372148
17 0.06799094795071658 0.06955518780402181
18 0.07100829771184314 0.07246376811594202
19 0.07442796077445313 0.07587382779198637
20 0.07814935881317575 0.0794844792136804
21 0.08166960020115666 0.0833960182538489
22 0.08539099823987928 0.08660548618424346
23 0.08860950465174755 0.09016598966952505
24 0.09202916771435754 0.09342560553633217
25 0.0955996982650239 0.09713655283085099
26 0.09861704802615034 0.09989468933353396
27 0.10198642192607488 0.1034050448824031
28 0.1056072416394267 0.10696554836768468
29 0.10932863967814932 0.11077679153502829
30 0.11254714609001759 0.11373551978336094
31 0.11616796580336941 0.11724587533223008
32 0.11938647221523757 0.12085652675392411
33 0.12305758109127485 0.12471791785768016
34 0.12632637666582847 0.1276766461060127
35 0.12984661805380937 0.13133744546411918
36 0.1336685944179029 0.13499824482222555
37 0.13688710082977118 0.13820771275262023
38 0.14065878803117926 0.14181836417431426
39 0.14422931858184562 0.14517827591394616
40 0.1474478249937139 0.14853818765357807
41 0.14961025898918778 0.15099543653778646
42 0.1531305003771687 0.1541547565317687
43 0.15644958511440787 0.15766511208063794
44 0.16012069399044504 0.1613259114387443
45 0.16308775458888614 0.16418434381425207
46 0.16696002011566502 0.16819617872724535
47 0.17012823736484783 0.17075372348427864
48 0.17299471963791802 0.17401333935108565
49 0.1759617802363591 0.17727295521789277
50 0.17872768418405838 0.18008123965698808
51 0.18159416645712845 0.18298981996890828
52 0.18395775710334428 0.18559751266235391
53 0.18737742016595427 0.188255353292212
54 0.19014332411365353 0.19136452534978188
55 0.1934624088508926 0.1945238453437641
56 0.19713351772692989 0.19793390501980845
57 0.20050289162685442 0.2013439646958528
58 0.20352024138798086 0.20440298881701013
59 0.20648730198642196 0.20731156912893034
