0,0
512,1
140,2
100,3
45,4
230,5
98,6
158,7
28,8
23,9
25,10
103,11
28,12
79,13
16,14
15,15
15,16
70,17
17,18
39,19
13,20
12,21
9,22
39,23
9,24
30,25
8,26
4,27
5,28
24,29
8,30
18,31
6,32
7,33
4,34
12,35
1,36
6,37
2,38
3,39
4,40
6,41
4,42
6,43
4,44
0,45
3,46
3,47
4,48
5,49
3,50
4,51
0,52
1,53
1,54
2,55
1,56
1,57
1,58
0,59
1,60
3,61
0,62
1,63
0,64
3,65
0,66
1,67
1,68
0,69
1,70
0,71
1,72
2,73
1,74
1,75
1,76
1,77
0,78
0,79
0,80
0,81
0,82
0,83
1,84
0,85
1,86
0,87
0,88
1,89
0,90
0,91
0,92
0,93
0,94
2,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
1,104
0,105
1,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
1,121
0,122
0,123
1,124
0,125
1,126
