dangling_strand data
1 365
5 250
7 105
10 5
11 133
13 39
16 2
17 59
19 24
20 1
22 4
23 24
25 14
28 1
29 19
30 1
31 5
32 1
35 9
36 1
37 6
38 1
40 1
41 3
43 2
46 2
47 1
48 1
52 1
53 1
59 2
61 2
84 1
primary_loop_size data
6.0 295
12.0 59
13.0 3
18.0 13
19.0 1
24.0 3
30.0 2
secondary_loop_size data
12.0 55
18.0 26
24.0 19
25.0 1
30.0 8
31.0 4
36.0 6
42.0 1
43.0 1
48.0 1
54.0 1
60.0 1
tertiary_loop_size data
12.0 1
18.0 23
24.0 22
25.0 2
30.0 17
31.0 2
36.0 8
42.0 9
48.0 5
54.0 1
60.0 1
61.0 1
quaternary_loop_size data
18.0 3
24.0 8
30.0 16
36.0 19
37.0 1
38.0 1
42.0 16
43.0 3
48.0 12
49.0 3
54.0 9
55.0 1
60.0 5
61.0 4
66.0 1
68.0 1
72.0 4
73.0 1
74.0 1
78.0 2
79.0 1
84.0 2
85.0 1
