dangling_strand data
1 433
2 43
3 1188
4 620
6 336
7 78
8 3
9 192
10 154
11 2
12 87
13 31
14 3
15 42
16 37
17 1
18 29
19 14
20 1
21 17
22 21
23 1
24 16
25 3
26 2
27 7
28 4
30 9
31 5
33 6
34 5
36 4
37 2
39 2
42 1
43 1
45 1
46 1
48 1
51 1
60 1
69 1
primary_loop_size data
2.0 138
4.0 46
5.0 42
6.0 9
7.0 23
8.0 12
9.0 3
10.0 3
11.0 2
12.0 2
14.0 3
15.0 1
19.0 1
secondary_loop_size data
1.0 82
3.0 87
4.0 50
5.0 26
6.0 27
7.0 23
8.0 9
9.0 9
10.0 10
11.0 5
12.0 3
13.0 8
14.0 2
16.0 1
17.0 2
21.0 1
tertiary_loop_size data
1.0 6
2.0 67
3.0 39
4.0 24
5.0 22
6.0 24
7.0 5
8.0 15
9.0 10
10.0 10
11.0 11
12.0 5
13.0 7
14.0 3
15.0 7
16.0 3
17.0 1
18.0 3
19.0 1
20.0 1
21.0 3
22.0 2
23.0 1
26.0 1
quaternary_loop_size data
2.0 18
3.0 16
4.0 8
5.0 14
6.0 9
7.0 11
8.0 10
9.0 12
10.0 13
11.0 9
12.0 11
13.0 7
14.0 12
15.0 14
16.0 9
17.0 9
18.0 3
19.0 2
20.0 1
21.0 1
22.0 3
23.0 1
24.0 2
25.0 1
27.0 1
28.0 1
31.0 1
34.0 2
45.0 1
