Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       8900                                0.98011                                           0.86271                                      2940.32231                                         11909.93566                                    2468.59024                
       9000                                0.96811                                           0.40173                                      2904.32023                                         11781.90098                                    2442.23136                
Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       8100                                0.84006                                           0.55022                                      2520.19072                                         10923.92292                                    2278.00672                
       8200                                0.80480                                          -0.01074                                      2414.40170                                         11263.25304                                    2378.60730                
       8300                                0.89319                                          -0.37157                                      2679.56780                                         11641.43681                                    2449.02705                
       8400                                0.98625                                           0.10794                                      2958.75696                                         12076.24889                                    2509.06171                
       8500                                0.98783                                           0.08489                                      2963.49132                                         12226.08190                                    2546.81294                
       8600                                0.88339                                          -0.34795                                      2650.15901                                         12183.40441                                    2575.32267                
       8700                                0.82457                                          -0.86310                                      2473.71292                                         12059.61741                                    2587.22499                
       8800                                0.86214                                          -0.23856                                      2586.41551                                         12002.58861                                    2546.14051                
       8900                                0.98011                                           0.86271                                      2940.32231                                         11909.93566                                    2468.59024                
       9000                                0.96811                                           0.40173                                      2904.32023                                         11781.90098                                    2442.23136                
Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       8100                                0.84006                                           0.55022                                      2520.19072                                         10923.92292                                    2278.00672                
       8200                                0.80480                                          -0.01074                                      2414.40170                                         11263.25304                                    2378.60730                
       8300                                0.89319                                          -0.37157                                      2679.56780                                         11641.43681                                    2449.02705                
       8400                                0.98625                                           0.10794                                      2958.75696                                         12076.24889                                    2509.06171                
       8500                                0.98783                                           0.08489                                      2963.49132                                         12226.08190                                    2546.81294                
       8600                                0.88339                                          -0.34795                                      2650.15901                                         12183.40441                                    2575.32267                
       8700                                0.82457                                          -0.86310                                      2473.71292                                         12059.61741                                    2587.22499                
       8800                                0.86214                                          -0.23856                                      2586.41551                                         12002.58861                                    2546.14051                
       8900                                0.98011                                           0.86271                                      2940.32231                                         11909.93566                                    2468.59024                
       9000                                0.96811                                           0.40173                                      2904.32023                                         11781.90098                                    2442.23136                
       9100                                0.84081                                          -0.43329                                      2522.41815                                         11782.36599                                    2447.89326                
       9200                                0.78198                                          -0.12483                                      2345.92940                                         11696.87850                                    2434.77989                
       9300                                0.87435                                           0.22874                                      2623.06091                                         11694.10099                                    2405.19705                
       9400                                0.95516                                           0.56127                                      2865.47721                                         11914.10352                                    2407.77981                
       9500                                0.97187                                           0.08840                                      2915.62014                                         12023.38897                                    2445.70998                
       9600                                0.88859                                          -0.21462                                      2665.77064                                         12159.50007                                    2478.74722                
       9700                                0.85654                                          -0.52049                                      2569.62968                                         12229.09431                                    2499.86384                
       9800                                0.88779                                          -0.15200                                      2663.37638                                         12344.37566                                    2495.38540                
       9900                                0.95412                                           0.24370                                      2862.36460                                         12413.46558                                    2478.65491                
       10000                               0.95590                                           0.08409                                      2867.69500                                         12377.95872                                    2459.81143                
       10100                               0.86024                                          -0.10030                                      2580.70871                                         12389.33971                                    2469.43079                
       10200                               0.84593                                          -0.15753                                      2537.79868                                         12273.03089                                    2469.31015                
       10300                               0.89635                                           0.05375                                      2689.04803                                         12272.48001                                    2430.95609                
       10400                               0.96101                                           0.47979                                      2883.02950                                         12283.31389                                    2409.23550                
       10500                               0.92010                                           0.25305                                      2760.30112                                         12376.75315                                    2418.11283                
       10600                               0.86031                                          -0.40053                                      2580.91683                                         12344.84248                                    2450.90978                
       10700                               0.86622                                          -0.07997                                      2598.66277                                         12347.86755                                    2447.64712                
       10800                               0.92177                                          -0.09784                                      2765.30923                                         12402.10437                                    2436.88440                
       10900                               0.94029                                           0.14043                                      2820.88405                                         12509.26185                                    2449.37937                
       11000                               0.91100                                          -0.09697                                      2733.01045                                         12568.81930                                    2479.08810                
       11100                               0.87910                                          -0.40768                                      2637.29173                                         12587.70063                                    2494.43328                
       11200                               0.88116                                          -0.02575                                      2643.46773                                         12674.81897                                    2483.92052                
       11300                               0.91884                                          -0.02359                                      2756.52703                                         12684.35303                                    2474.72041                
       11400                               0.91321                                           0.34632                                      2739.62059                                         12729.35416                                    2469.82569                
       11500                               0.92052                                          -0.12581                                      2761.56875                                         12594.15797                                    2458.92600                
       11600                               0.88145                                          -0.14457                                      2644.33965                                         12577.36665                                    2443.77640                
       11700                               0.86282                                           0.23522                                      2588.46587                                         12584.97793                                    2433.40248                
       11800                               0.89711                                           0.22760                                      2691.34294                                         12566.34772                                    2426.38419                
       11900                               0.90411                                           0.19534                                      2712.32158                                         12667.60000                                    2436.90324                
       12000                               0.91629                                           0.11921                                      2748.85836                                         12723.69852                                    2444.08660                
       12100                               0.89097                                          -0.13526                                      2672.92351                                         12846.74086                                    2454.35815                
       12200                               0.89179                                          -0.05057                                      2675.37592                                         12847.06127                                    2464.50931                
       12300                               0.91220                                          -0.07237                                      2736.60182                                         12923.34752                                    2448.43784                
       12400                               0.91807                                           0.22840                                      2754.21271                                         12962.62520                                    2443.28058                
       12500                               0.89771                                           0.13606                                      2693.11589                                         12968.16925                                    2435.34888                
       12600                               0.89145                                          -0.06667                                      2674.35556                                         12958.00786                                    2424.25776                
       12700                               0.88632                                           0.13516                                      2658.97344                                         12942.77580                                    2424.63063                
       12800                               0.89479                                          -0.14452                                      2684.36683                                         12997.40934                                    2443.46104                
       12900                               0.89987                                           0.01235                                      2699.61238                                         13134.88391                                    2452.36123                
       13000                               0.94021                                           0.14593                                      2820.64417                                         13167.76466                                    2449.34005                
       13100                               0.92474                                          -0.07540                                      2774.22781                                         13130.52935                                    2452.13798                
       13200                               0.86708                                          -0.00622                                      2601.25413                                         13165.36888                                    2457.54891                
       13300                               0.86993                                          -0.23451                                      2609.78254                                         13196.70229                                    2472.44818                
       13400                               0.89723                                          -0.27931                                      2691.69649                                         13340.48191                                    2475.70071                
