Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
      328100                               0.90018                                          -0.13301                                      2700.55333                                         22333.51214                                    2350.99402                
      328200                               0.91079                                           0.01007                                      2732.38333                                         22357.78439                                    2360.72605                
      328300                               0.87883                                           0.19738                                      2636.48057                                         22394.77266                                    2353.19130                
      328400                               0.88588                                          -0.11209                                      2657.64622                                         22274.84900                                    2356.73485                
      328500                               0.86459                                          -0.26834                                      2593.78294                                         22295.26503                                    2354.50862                
      328600                               0.89704                                           0.37758                                      2691.12324                                         22238.98130                                    2327.67740                
      328700                               0.93876                                           0.26440                                      2816.26604                                         22089.29770                                    2305.92721                
      328800                               0.89336                                          -0.10019                                      2680.06797                                         22095.67371                                    2321.11589                
      328900                               0.87683                                          -0.45666                                      2630.49053                                         22097.28277                                    2331.73155                
      329000                               0.89540                                          -0.12607                                      2686.20102                                         22134.41221                                    2314.09842                
      329100                               0.91590                                           0.30048                                      2747.69930                                         22138.15368                                    2300.83817                
      329200                               0.90802                                           0.15577                                      2724.06879                                         22090.20620                                    2300.48199                
      329300                               0.88004                                           0.41350                                      2640.13368                                         22038.94351                                    2293.84313                
      329400                               0.87274                                          -0.12807                                      2618.23071                                         21983.75590                                    2298.69887                
      329500                               0.86484                                          -0.05798                                      2594.51816                                         22097.69170                                    2310.08351                
      329600                               0.92008                                          -0.18121                                      2760.25300                                         22142.89236                                    2331.75977                
      329700                               0.91234                                           0.01488                                      2737.03479                                         22323.94855                                    2345.22409                
      329800                               0.91396                                           0.18165                                      2741.88477                                         22322.62679                                    2347.38068                
      329900                               0.88271                                           0.10644                                      2648.12066                                         22293.60722                                    2341.64475                
      330000                               0.87100                                           0.23496                                      2613.01350                                         22200.09302                                    2318.27826                
      330100                               0.89467                                           0.19183                                      2684.01047                                         22068.00382                                    2310.42476                
      330200                               0.86786                                           0.22145                                      2603.59022                                         22158.55315                                    2316.13418                
      330300                               0.89041                                           0.14971                                      2671.23973                                         22178.33908                                    2314.64848                
      330400                               0.91335                                           0.02661                                      2740.03739                                         22166.06159                                    2321.15440                
      330500                               0.88525                                          -0.22826                                      2655.75792                                         22267.47430                                    2336.66160                
      330600                               0.88953                                          -0.18900                                      2668.60114                                         22281.94433                                    2351.20315                
      330700                               0.89394                                           0.01645                                      2681.80761                                         22291.52267                                    2347.26910                
      330800                               0.90486                                           0.05416                                      2714.59190                                         22279.37581                                    2346.11876                
      330900                               0.92541                                          -0.03436                                      2776.22601                                         22198.80333                                    2343.32546                
      331000                               0.89736                                          -0.04511                                      2692.07330                                         22198.95731                                    2330.66182                
      331100                               0.86215                                          -0.02692                                      2586.45756                                         22187.35641                                    2326.35961                
      331200                               0.87388                                           0.09908                                      2621.63589                                         22123.40611                                    2319.90246                
      331300                               0.89172                                           0.18237                                      2675.16451                                         22139.83765                                    2322.84824                
      331400                               0.90513                                          -0.38508                                      2715.40347                                         22224.02289                                    2345.90180                
      331500                               0.91459                                          -0.00118                                      2743.77686                                         22326.57385                                    2354.51939                
      331600                               0.91687                                          -0.03574                                      2750.60576                                         22392.16376                                    2355.94686                
      331700                               0.91507                                          -0.09129                                      2745.19977                                         22339.68827                                    2364.13037                
      331800                               0.88025                                           0.11177                                      2640.76452                                         22319.61869                                    2359.91182                
      331900                               0.88709                                          -0.00539                                      2661.26243                                         22219.91168                                    2331.32320                
      332000                               0.89750                                          -0.06725                                      2692.49680                                         22143.85925                                    2318.92647                
      332100                               0.87110                                           0.16334                                      2613.30234                                         22210.18293                                    2326.41177                
      332200                               0.90513                                          -0.07906                                      2715.39293                                         22162.99945                                    2331.06425                
      332300                               0.87174                                          -0.18568                                      2615.22397                                         22288.61938                                    2338.26230                
      332400                               0.88980                                           0.06497                                      2669.40331                                         22249.72822                                    2343.27066                
      332500                               0.89579                                           0.11514                                      2687.36733                                         22261.03524                                    2329.22548                
      332600                               0.92607                                           0.36099                                      2778.21046                                         22132.78089                                    2299.50491                
      332700                               0.89695                                           0.04609                                      2690.83782                                         22037.88097                                    2296.03714                
      332800                               0.85357                                          -0.06761                                      2560.71340                                         22028.36150                                    2306.97415                
      332900                               0.86260                                           0.05314                                      2587.81393                                         22074.60299                                    2307.14619                
      333000                               0.90177                                           0.29873                                      2705.31817                                         22179.30236                                    2312.46812                
      333100                               0.94628                                           0.49424                                      2838.83055                                         22198.35624                                    2323.37558                
      333200                               0.91997                                           0.14757                                      2759.92191                                         22248.72592                                    2337.00333                
      333300                               0.87232                                          -0.01690                                      2616.96392                                         22269.17876                                    2351.01430                
      333400                               0.86955                                          -0.27277                                      2608.66438                                         22263.78222                                    2361.79519                
      333500                               0.88901                                          -0.19380                                      2667.02699                                         22341.85668                                    2364.74334                
      333600                               0.93903                                           0.27311                                      2817.09743                                         22319.18324                                    2354.64763                
      333700                               0.93286                                           0.25497                                      2798.58691                                         22303.85713                                    2347.89844                
      333800                               0.89389                                          -0.02849                                      2681.66539                                         22213.51353                                    2334.91313                
      333900                               0.85213                                           0.20638                                      2556.39194                                         22129.23463                                    2318.42590                
      334000                               0.85590                                          -0.40481                                      2567.69792                                         22089.48574                                    2340.09681                
      334100                               0.87648                                          -0.04034                                      2629.42650                                         22254.42638                                    2349.52368                
      334200                               0.94399                                           0.36711                                      2831.95698                                         22359.75731                                    2333.90462                
      334300                               0.93814                                          -0.04841                                      2814.42188                                         22391.11668                                    2340.01303                
      334400                               0.87153                                          -0.30364                                      2614.57665                                         22365.90794                                    2376.53337                
      334500                               0.85524                                          -0.09672                                      2565.71776                                         22341.50021                                    2379.96216                
      334600                               0.92176                                          -0.33547                                      2765.29246                                         22267.30210                                    2355.70341                
      334700                               0.94027                                           0.32890                                      2820.80181                                         22284.59388                                    2319.90635                
      334800                               0.90741                                           0.13832                                      2722.23698                                         22192.11589                                    2319.49475                
      334900                               0.84916                                          -0.32847                                      2547.47591                                         22110.08702                                    2330.98381                
      335000                               0.84868                                          -0.35479                                      2546.02578                                         22078.74467                                    2333.22133                
      335100                               0.90323                                           0.04678                                      2709.69032                                         22126.52212                                    2311.72415                
      335200                               0.96213                                           0.41994                                      2886.40151                                         22124.71910                                    2295.07146                
      335300                               0.91125                                           0.06101                                      2733.74710                                         22121.03224                                    2324.98936                
      335400                               0.84459                                          -0.64722                                      2533.75758                                         22141.62564                                    2346.34350                
      335500                               0.83906                                           0.01980                                      2517.17475                                         22231.82757                                    2335.26231                
      335600                               0.93338                                           0.39734                                      2800.13882                                         22200.84418                                    2322.05956                
      335700                               0.94013                                           0.34579                                      2820.39619                                         22264.43612                                    2325.87136                
      335800                               0.86416                                          -0.20482                                      2592.47627                                         22322.88532                                    2356.52137                
      335900                               0.84611                                          -0.41967                                      2538.33135                                         22278.93314                                    2381.59022                
      336000                               0.87849                                          -0.00539                                      2635.48290                                         22334.25981                                    2361.08456                
      336100                               0.94599                                           0.16487                                      2837.96193                                         22356.70520                                    2345.30573                
      336200                               0.92167                                           0.17706                                      2765.00575                                         22413.46892                                    2347.40452                
      336300                               0.86837                                          -0.01598                                      2605.11787                                         22354.20726                                    2363.97571                
      336400                               0.84463                                          -0.07280                                      2533.88850                                         22291.50747                                    2348.38862                
      336500                               0.88250                                          -0.18802                                      2647.48977                                         22216.27764                                    2338.01891                
      336600                               0.90928                                           0.39217                                      2727.83400                                         22231.23466                                    2323.12181                
      336700                               0.90236                                           0.32451                                      2707.06896                                         22246.31377                                    2323.27949                
      336800                               0.87915                                          -0.23667                                      2637.45997                                         22228.47995                                    2347.55160                
      336900                               0.86398                                          -0.53437                                      2591.93593                                         22287.51454                                    2358.05418                
      337000                               0.88412                                           0.35035                                      2652.35366                                         22345.33461                                    2355.55553                
      337100                               0.92865                                           0.34093                                      2785.95964                                         22318.53708                                    2341.97922                
      337200                               0.90452                                           0.05257                                      2713.56811                                         22315.91814                                    2341.91020                
      337300                               0.86921                                           0.09141                                      2607.64355                                         22237.14988                                    2337.40950                
      337400                               0.85131                                          -0.00202                                      2553.91910                                         22197.43819                                    2341.55812                
      337500                               0.88638                                           0.22399                                      2659.15267                                         22181.39604                                    2322.90668                
      337600                               0.91278                                           0.39723                                      2738.33513                                         22250.19246                                    2316.13154                
      337700                               0.87882                                           0.47479                                      2636.44964                                         22346.94256                                    2331.86234                
      337800                               0.89952                                          -0.33764                                      2698.55289                                         22207.78357                                    2353.18253                
      337900                               0.87459                                          -0.27193                                      2623.78129                                         22279.43541                                    2356.48103                
      338000                               0.89993                                          -0.17511                                      2699.78473                                         22330.56065                                    2357.28309                
      338100                               0.93173                                          -0.30029                                      2795.18969                                         22316.06995                                    2347.34119                
      338200                               0.91984                                           0.14698                                      2759.51582                                         22237.68004                                    2329.95180                
      338300                               0.86990                                          -0.16613                                      2609.69455                                         22161.18816                                    2328.57075                
      338400                               0.85121                                          -0.11486                                      2553.63877                                         22138.44875                                    2326.73259                
      338500                               0.86911                                           0.04932                                      2607.31903                                         22186.31441                                    2317.47740                
      338600                               0.93731                                           0.18417                                      2811.91995                                         22121.24620                                    2311.02659                
      338700                               0.89516                                           0.08427                                      2685.47992                                         22230.17376                                    2332.19503                
      338800                               0.86859                                          -0.33569                                      2605.77864                                         22252.91389                                    2352.11021                
      338900                               0.89823                                           0.41552                                      2694.67547                                         22209.32318                                    2321.00329                
      339000                               0.94735                                           0.48809                                      2842.05682                                         22073.40677                                    2291.69255                
      339100                               0.88623                                          -0.01920                                      2658.69857                                         22085.46738                                    2306.64476                
      339200                               0.83310                                          -0.33187                                      2499.28976                                         22131.53093                                    2327.77923                
      339300                               0.87204                                           0.15106                                      2616.11036                                         22167.52939                                    2324.02272                
      339400                               0.94480                                           0.25742                                      2834.39074                                         22176.95783                                    2312.90953                
      339500                               0.93504                                          -0.13158                                      2805.10988                                         22213.69981                                    2325.63488                
      339600                               0.85770                                          -0.36464                                      2573.09172                                         22317.42305                                    2365.70619                
      339700                               0.90256                                          -0.23419                                      2707.68592                                         22162.41159                                    2350.61879                
      339800                               0.90176                                          -0.14898                                      2705.27463                                         22228.58464                                    2323.90392                
      339900                               0.92719                                           0.23494                                      2781.57647                                         22117.12046                                    2314.87238                
      340000                               0.87234                                          -0.04510                                      2617.01582                                         22161.36947                                    2338.49960                
      340100                               0.85954                                          -0.07195                                      2578.60829                                         22212.67871                                    2334.05172                
      340200                               0.90913                                           0.29148                                      2727.40408                                         22180.78428                                    2311.85981                
      340300                               0.90742                                           0.40195                                      2722.26585                                         22197.53135                                    2314.77352                
      340400                               0.86980                                          -0.25739                                      2609.39645                                         22226.88731                                    2342.09165                
      340500                               0.85476                                          -0.42501                                      2564.27160                                         22254.22399                                    2345.07846                
      340600                               0.90480                                           0.26663                                      2714.39612                                         22231.77561                                    2335.31578                
      340700                               0.92263                                          -0.26478                                      2767.89161                                         22279.59247                                    2343.23111                
      340800                               0.89787                                          -0.08024                                      2693.60304                                         22329.59105                                    2350.09601                
      340900                               0.88788                                          -0.01335                                      2663.62602                                         22280.04860                                    2345.17485                
      341000                               0.89943                                           0.04356                                      2698.29202                                         22172.01475                                    2319.35184                
      341100                               0.89332                                           0.16477                                      2679.95905                                         22111.45102                                    2301.87139                
      341200                               0.90267                                           0.42946                                      2708.01284                                         21982.25242                                    2288.12486                
      341300                               0.87009                                          -0.07394                                      2610.26917                                         22029.11107                                    2301.04926                
      341400                               0.88508                                          -0.27742                                      2655.24071                                         22060.46609                                    2314.50681                
      341500                               0.88537                                          -0.10961                                      2656.11680                                         22238.97910                                    2333.70278                
      341600                               0.91228                                           0.20560                                      2736.83583                                         22327.49492                                    2344.61700                
      341700                               0.93882                                          -0.09265                                      2816.44896                                         22309.54552                                    2354.58177                
      341800                               0.93092                                          -0.03470                                      2792.76238                                         22229.72288                                    2348.48996                
      341900                               0.87423                                           0.17033                                      2622.68181                                         22218.39681                                    2334.41749                
      342000                               0.89141                                           0.08627                                      2674.22539                                         22040.89112                                    2302.33003                
      342100                               0.88689                                           0.47964                                      2660.67977                                         21986.89867                                    2280.29517                
      342200                               0.89617                                           0.19633                                      2688.50447                                         21935.33817                                    2281.89056                
      342300                               0.87005                                           0.19296                                      2610.14335                                         22074.11845                                    2306.11660                
      342400                               0.89611                                          -0.53156                                      2688.32149                                         22166.91320                                    2334.32890                
      342500                               0.90918                                          -0.24308                                      2727.53789                                         22338.06279                                    2355.29817                
      342600                               0.91016                                           0.06692                                      2730.49209                                         22475.87285                                    2367.97932                
      342700                               0.90398                                          -0.17061                                      2711.92750                                         22478.16164                                    2390.16885                
      342800                               0.88820                                          -0.13430                                      2664.59885                                         22452.87734                                    2398.86599                
      342900                               0.90847                                          -0.24659                                      2725.41867                                         22388.66549                                    2373.65332                
      343000                               0.90667                                           0.14846                                      2720.00040                                         22380.86123                                    2352.57761                
      343100                               0.91694                                           0.07759                                      2750.80817                                         22213.07080                                    2327.09471                
      343200                               0.88074                                           0.23861                                      2642.22638                                         22092.54992                                    2309.87802                
      343300                               0.87897                                          -0.00768                                      2636.91171                                         21927.97915                                    2297.12295                
      343400                               0.88970                                           0.03422                                      2669.09397                                         21928.73829                                    2299.40067                
      343500                               0.91703                                          -0.10209                                      2751.09575                                         22037.54938                                    2293.05736                
      343600                               0.92904                                           0.01469                                      2787.12849                                         22139.15219                                    2304.31161                
      343700                               0.91466                                          -0.08034                                      2743.98669                                         22151.16466                                    2329.49120                
      343800                               0.87502                                          -0.24745                                      2625.06361                                         22198.53037                                    2347.62930                
      343900                               0.90185                                          -0.22888                                      2705.56318                                         22147.15334                                    2323.89032                
      344000                               0.92340                                           0.70417                                      2770.20926                                         22114.70698                                    2288.81470                
      344100                               0.89296                                           0.65967                                      2678.88832                                         22079.27063                                    2286.47308                
      344200                               0.86200                                           0.00433                                      2586.01382                                         22008.79175                                    2294.92479                
      344300                               0.87561                                           0.03972                                      2626.82506                                         21952.78536                                    2298.68880                
      344400                               0.89882                                           0.64356                                      2696.45109                                         22031.48333                                    2279.27801                
      344500                               0.93432                                           0.16831                                      2802.97114                                         22014.29799                                    2273.45926                
      344600                               0.86689                                          -0.28192                                      2600.65504                                         22124.32907                                    2294.64451                
      344700                               0.85977                                          -0.07230                                      2579.32012                                         22080.04246                                    2310.36601                
      344800                               0.88174                                           0.17291                                      2645.20570                                         22107.69945                                    2301.33686                
      344900                               0.92396                                           0.36936                                      2771.86619                                         22085.67589                                    2297.86329                
      345000                               0.88609                                          -0.21106                                      2658.25616                                         22185.74661                                    2327.87408                
      345100                               0.86233                                          -0.25163                                      2586.99772                                         22264.55547                                    2359.98206                
      345200                               0.86739                                          -0.30426                                      2602.16162                                         22391.62770                                    2362.28165                
