dangling_strand count
1 1185
5 1025
7 102
10 44
11 92
13 11
14 30
16 10
17 22
18 13
19 1
20 9
22 6
23 5
24 13
27 1
28 6
29 4
30 1
31 5
32 2
33 1
36 1
37 1
39 1
43 1
47 1
71 1
primary_loop_size data
6.0 517
12.0 25
13.0 14
18.0 3
20.0 1
25.0 1
secondary_loop_size data
12.0 146
18.0 19
19.0 12
24.0 4
25.0 4
26.0 3
30.0 1
32.0 1
37.0 1
tertiary_loop_size data
6.0 1
12.0 5
18.0 100
24.0 26
25.0 12
30.0 3
31.0 5
32.0 1
36.0 1
37.0 2
38.0 1
quaternary_loop_size data
18.0 7
24.0 72
25.0 1
30.0 32
31.0 11
36.0 8
37.0 10
38.0 2
42.0 2
44.0 4
