dangle_size count
2 41
4 69
5 70
6 195
7 52
8 19
9 1
10 16
11 43
12 52
13 43
14 12
16 14
17 39
18 25
19 30
20 6
21 1
22 9
23 32
24 13
25 18
26 5
27 2
28 4
29 38
30 17
31 24
32 6
33 1
34 6
35 37
36 10
37 10
38 3
39 1
40 2
41 22
42 5
43 18
44 2
46 2
47 17
48 7
49 16
51 1
52 1
53 13
54 7
55 7
56 2
57 2
58 5
59 9
61 14
64 4
65 4
66 2
67 4
69 1
70 1
71 10
73 9
74 2
75 1
77 9
78 4
79 3
82 1
83 4
84 4
85 4
86 2
87 1
88 1
89 6
90 1
91 4
92 1
95 7
96 1
97 2
98 1
101 1
103 3
105 1
106 1
107 2
108 1
109 1
112 1
113 4
114 1
115 3
116 1
119 2
120 1
121 2
125 4
126 1
131 1
132 2
136 1
137 2
143 1
144 1
145 1
149 1
150 1
151 1
153 2
155 1
163 1
165 1
169 1
174 1
175 2
184 1
188 1
190 1
193 1
211 1
215 1
227 1
229 1
236 1
237 1
247 1
251 1
266 1
292 1
306 1
386 1
443 1
