0,0
0,1
0,2
0,3
0,4
0,5
547,6
0,7
0,8
0,9
0,10
0,11
313,12
55,13
0,14
0,15
0,16
0,17
178,18
65,19
7,20
0,21
0,22
0,23
101,24
57,25
4,26
2,27
0,28
0,29
59,30
36,31
20,32
1,33
0,34
0,35
39,36
22,37
4,38
3,39
0,40
0,41
10,42
13,43
10,44
1,45
0,46
0,47
13,48
17,49
10,50
0,51
0,52
0,53
5,54
10,55
8,56
4,57
1,58
1,59
4,60
3,61
5,62
3,63
0,64
0,65
1,66
5,67
2,68
2,69
1,70
0,71
2,72
4,73
2,74
1,75
0,76
0,77
1,78
3,79
0,80
1,81
0,82
0,83
1,84
0,85
0,86
1,87
0,88
0,89
0,90
1,91
1,92
0,93
0,94
0,95
1,96
2,97
0,98
1,99
0,100
0,101
1,102
1,103
1,104
0,105
0,106
0,107
1,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
2,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
1,140
