dangle_size count
2 169
4 195
6 305
8 83
10 76
12 139
14 41
16 48
18 97
20 46
22 38
24 56
26 26
28 35
30 67
32 25
34 29
36 45
38 23
40 18
42 41
44 18
46 9
48 30
50 14
52 12
54 40
56 13
58 13
60 19
62 8
64 5
66 19
68 11
70 6
72 13
74 5
76 11
78 14
80 8
82 8
84 17
86 9
88 5
90 13
92 8
94 5
96 5
98 4
100 2
102 9
104 5
106 4
108 6
110 9
112 8
114 3
116 3
118 2
120 5
122 2
124 2
126 2
128 3
130 5
132 6
134 1
136 2
138 3
142 1
144 2
146 2
148 1
150 1
156 2
162 1
168 1
176 2
180 2
182 2
186 2
188 1
192 1
202 1
216 1
222 1
250 1
258 1
260 1
276 1
288 1
