cluster_size count
288 1
276 1
260 1
258 1
250 1
222 1
216 1
202 1
192 1
188 1
186 2
182 2
180 2
176 2
168 1
162 1
156 2
150 1
148 1
146 2
144 2
142 1
138 3
136 2
134 1
132 6
130 5
128 3
126 2
124 2
122 2
120 5
118 2
116 3
114 3
112 8
110 9
108 6
106 4
104 5
102 9
100 2
98 4
96 5
94 5
92 8
90 13
88 5
86 9
84 17
82 8
80 8
78 14
76 11
74 5
72 13
70 6
68 11
66 19
64 5
62 8
60 19
58 13
56 13
54 40
52 12
50 14
48 30
46 9
44 18
42 41
40 18
38 23
36 45
34 29
32 25
30 67
28 35
26 26
24 56
22 38
20 46
18 97
16 48
14 41
12 139
10 76
8 83
6 305
4 195
2 169
