strand_size count
2 103
4 119
6 236
8 51
10 44
12 92
14 21
16 30
18 69
20 23
22 26
24 36
26 20
28 31
30 35
32 16
34 18
36 23
38 17
40 14
42 34
44 15
46 8
48 17
50 10
52 6
54 28
56 12
58 8
60 14
62 9
64 8
66 17
68 8
70 5
72 13
74 5
76 7
78 15
80 5
82 5
84 12
86 11
88 4
90 12
92 6
94 4
96 5
98 3
100 1
102 6
104 6
106 6
108 10
110 7
112 7
114 4
116 3
118 2
120 5
122 3
124 3
126 9
128 5
130 6
132 8
134 2
136 3
138 2
140 1
142 5
144 2
146 2
148 2
150 2
152 1
154 1
156 1
158 3
160 3
162 1
164 1
168 1
170 2
174 2
176 1
180 3
182 1
186 4
192 6
194 1
202 1
204 3
206 2
210 2
214 1
216 2
218 1
220 1
222 1
224 1
228 2
234 1
236 1
248 1
250 1
254 1
256 1
258 1
266 1
276 2
288 1
292 1
300 1
318 1
336 1
