cluster_size count
52853 1
179 1
162 1
117 1
97 1
94 1
83 1
78 2
76 2
75 1
72 1
71 1
68 1
61 3
59 1
57 1
56 1
55 3
53 1
51 1
48 2
45 1
44 1
43 1
42 1
41 3
40 1
39 1
38 2
37 2
36 2
35 3
34 3
33 4
32 3
31 6
30 2
29 4
28 3
27 2
25 6
24 15
23 7
22 11
21 3
20 5
19 2
18 18
17 2
16 23
15 1
14 7
13 3
12 45
11 3
10 40
9 5
8 21
6 204
5 11
4 197
2 99
