cluster_size count
50965 1
227 1
193 1
160 1
111 1
88 1
87 1
85 1
82 1
81 1
79 1
64 3
61 1
59 3
58 2
57 1
55 2
53 2
52 1
51 3
50 1
48 2
47 2
46 2
45 1
43 3
42 4
41 1
40 2
39 5
37 3
36 5
35 3
34 2
33 2
31 4
30 4
29 7
28 5
27 5
26 3
25 7
24 9
23 3
22 10
21 5
20 10
19 6
18 29
17 2
16 28
15 7
14 14
13 7
12 48
11 4
10 54
9 12
8 21
6 202
5 10
4 244
2 102
