largest average
9 3.4338753537932183
14 3.4627007666909173
17 3.4765142150803463
18 3.4912260903910175
18 3.5094435936702397
18 3.525239288969918
22 3.540367339932483
22 3.5556257901390644
22 3.5714285714285716
26 3.587372448979592
30 3.6026200873362444
30 3.6192676649508657
30 3.6322277663633695
30 3.647214854111406
40 3.664929218740745
40 3.6843515541264735
40 3.7004365767597633
40 3.7177792465300725
48 3.7334821697942435
48 3.751364132411786
48 3.7641440564545565
48 3.7772419266223065
48 3.791592622096942
48 3.8079266416394857
48 3.8253477588871716
48 3.839113979028355
48 3.8563415394203804
48 3.8756655183213278
48 3.8897969447413088
48 3.90822385042951
48 3.9240867579908674
48 3.9428407570254254
48 3.9574672209785735
48 3.9744989722507706
48 3.987562028742669
48 4.005372863801139
48 4.022820362785255
48 4.045175209205021
48 4.068047337278107
48 4.084428015050499
48 4.102844638949672
48 4.121153589982683
65 4.140457708779444
69 4.162462159434914
69 4.177920324105334
69 4.198615729117188
73 4.217216466739368
73 4.236852917009038
73 4.250240417639786
73 4.270775814467145
73 4.288536179650679
73 4.304647279810769
73 4.319974865600782
73 4.337539432176656
73 4.35402153261558
73 4.370320666760842
73 4.38860912121427
73 4.405168731311405
73 4.4250160909676035
73 4.446959896507115
73 4.464607836063208
73 4.4807734086465345
73 4.49934554973822
73 4.521373766898064
73 4.543952412425645
73 4.565746753246753
73 4.583333333333333
73 4.605165227746353
73 4.623402824478816
73 4.640741018525463
73 4.660665863211811
73 4.682533676403814
73 4.70818749048851
73 4.726168652612282
73 4.748292533190085
73 4.763646162137193
73 4.783533049864708
73 4.800232738557021
73 4.8238091525688
73 4.84609962406015
73 4.868980169971671
73 4.885125532922785
88 4.900601932520196
92 4.920868458724351
92 4.943672099712368
92 4.962704523580366
92 4.984291928467859
92 5.009310233160622
92 5.034580960130187
92 5.049371633752244
92 5.0679826357605045
100 5.08338810384489
102 5.104776833594588
102 5.130171627559903
102 5.152385710716962
102 5.175225828036132
102 5.19216245699421
102 5.2140389314906885
102 5.232558139534884
102 5.251209369430535
102 5.273587317821529
102 5.296610169491525
