crosslink_id	type	effective_functionality	scanlan_classification
13874	Tetra-S	2	bridging
13879	Tetra-S	2	bridging
13884	Tetra-S	2	bridging
13889	Tetra-S	0	ineffective
13894	Tetra-S	0	ineffective
13899	Tetra-S	2	bridging
13904	Tetra-S	0	ineffective
13914	Tetra-S	4	effective
13919	Tetra-S	0	ineffective
13924	Tetra-S	2	bridging
13929	Tetra-S	3	effective
13934	Tetra-S	3	effective
13944	Tetra-S	3	effective
13949	Tetra-S	0	ineffective
13954	Tetra-S	0	ineffective
13959	Tetra-S	2	bridging
13964	Tetra-S	3	effective
13969	Tetra-S	4	effective
13974	Tetra-S	2	bridging
13979	Tetra-S	2	bridging
13989	Tetra-S	0	ineffective
13994	Tetra-S	3	effective
13999	Tetra-S	2	bridging
14004	Tetra-S	0	ineffective
14009	Tetra-S	4	effective
14014	Tetra-S	2	bridging
14019	Tetra-S	2	bridging
14024	Tetra-S	0	ineffective
14034	Tetra-S	2	bridging
14044	Tetra-S	0	ineffective
14049	Tetra-S	3	effective
14054	Tetra-S	2	bridging
14059	Tetra-S	4	effective
14064	Tetra-S	3	effective
14074	Tetra-S	0	ineffective
14079	Tetra-S	2	bridging
14084	Tetra-S	0	ineffective
14089	Tetra-S	0	ineffective
14094	Tetra-S	0	ineffective
14099	Tetra-S	2	bridging
14104	Tetra-S	3	effective
14109	Tetra-S	3	effective
14114	Tetra-S	2	bridging
14124	Tetra-S	0	ineffective
14129	Tetra-S	3	effective
14134	Tetra-S	2	bridging
14139	Tetra-S	2	bridging
14144	Tetra-S	3	effective
14154	Tetra-S	0	ineffective
14159	Tetra-S	4	effective
14164	Tetra-S	0	ineffective
14169	Tetra-S	2	bridging
14174	Tetra-S	2	bridging
14179	Tetra-S	0	ineffective
14184	Tetra-S	0	ineffective
14189	Tetra-S	3	effective
14194	Tetra-S	0	ineffective
14199	Tetra-S	2	bridging
14209	Tetra-S	3	effective
14214	Tetra-S	2	bridging
14219	Tetra-S	2	bridging
14224	Tetra-S	4	effective
14229	Tetra-S	0	ineffective
14234	Tetra-S	2	bridging
14239	Tetra-S	2	bridging
14244	Tetra-S	0	ineffective
14249	Tetra-S	0	ineffective
14254	Tetra-S	3	effective
14259	Tetra-S	2	bridging
14264	Tetra-S	0	ineffective
14269	Tetra-S	0	ineffective
14274	Tetra-S	2	bridging
14279	Tetra-S	0	ineffective
14289	Tetra-S	0	ineffective
14294	Tetra-S	3	effective
14299	Tetra-S	0	ineffective
14304	Tetra-S	0	ineffective
14314	Tetra-S	4	effective
14319	Tetra-S	2	bridging
14324	Tetra-S	2	bridging
14329	Tetra-S	0	ineffective
14334	Tetra-S	2	bridging
14339	Tetra-S	3	effective
14344	Tetra-S	2	bridging
14349	Tetra-S	2	bridging
14354	Tetra-S	2	bridging
14359	Tetra-S	2	bridging
14364	Tetra-S	2	bridging
14369	Tetra-S	0	ineffective
14374	Tetra-S	0	ineffective
14379	Tetra-S	0	ineffective
14384	Tetra-S	0	ineffective
14389	Tetra-S	3	effective
14394	Tetra-S	3	effective
14399	Tetra-S	4	effective
14409	Tetra-S	3	effective
14414	Tetra-S	2	bridging
14419	Tetra-S	2	bridging
14424	Tetra-S	2	bridging
14429	Tetra-S	2	bridging
14434	Tetra-S	2	bridging
14439	Tetra-S	0	ineffective
14444	Tetra-S	0	ineffective
14449	Tetra-S	4	effective
14454	Tetra-S	2	bridging
14464	Tetra-S	0	ineffective
14469	Tetra-S	0	ineffective
14474	Tetra-S	3	effective
14479	Tetra-S	2	bridging
14484	Tetra-S	2	bridging
14494	Tetra-S	2	bridging
14499	Tetra-S	3	effective
14504	Tetra-S	0	ineffective
14509	Tetra-S	3	effective
14514	Tetra-S	2	bridging
14519	Tetra-S	0	ineffective
14524	Tetra-S	0	ineffective
14529	Tetra-S	0	ineffective
14534	Tetra-S	0	ineffective
14539	Tetra-S	0	ineffective
14544	Tetra-S	3	effective
14549	Tetra-S	2	bridging
14554	Tetra-S	2	bridging
14559	Tetra-S	3	effective
14564	Tetra-S	2	bridging
14574	Tetra-S	3	effective
14584	Tetra-S	2	bridging
14594	Tetra-S	0	ineffective
14604	Tetra-S	2	bridging
14609	Tetra-S	0	ineffective
14614	Tetra-S	0	ineffective
14619	Tetra-S	2	bridging
14624	Tetra-S	0	ineffective
14629	Tetra-S	2	bridging
14634	Tetra-S	4	effective
14644	Tetra-S	4	effective
14649	Tetra-S	3	effective
14654	Tetra-S	0	ineffective
14659	Tetra-S	3	effective
14664	Tetra-S	0	ineffective
14669	Tetra-S	2	bridging
14674	Tetra-S	0	ineffective
14679	Tetra-S	0	ineffective
14689	Tetra-S	0	ineffective
14694	Tetra-S	0	ineffective
14699	Tetra-S	3	effective
14709	Tetra-S	2	bridging
14714	Tetra-S	0	ineffective
14719	Tetra-S	2	bridging
14724	Tetra-S	3	effective
14729	Tetra-S	2	bridging
14734	Tetra-S	2	bridging
14739	Tetra-S	2	bridging
14744	Tetra-S	0	ineffective
14749	Tetra-S	3	effective
14754	Tetra-S	2	bridging
14759	Tetra-S	0	ineffective
14764	Tetra-S	0	ineffective
14769	Tetra-S	0	ineffective
14779	Tetra-S	4	effective
14784	Tetra-S	0	ineffective
14794	Tetra-S	0	ineffective
14799	Tetra-S	3	effective
14809	Tetra-S	2	bridging
14814	Tetra-S	3	effective
14819	Tetra-S	0	ineffective
14824	Tetra-S	2	bridging
14829	Tetra-S	2	bridging
14834	Tetra-S	0	ineffective
14839	Tetra-S	2	bridging
14844	Tetra-S	2	bridging
14849	Tetra-S	0	ineffective
14854	Tetra-S	0	ineffective
14859	Tetra-S	2	bridging
14869	Tetra-S	0	ineffective
14874	Tetra-S	2	bridging
14879	Tetra-S	2	bridging
14884	Tetra-S	0	ineffective
14889	Tetra-S	2	bridging
14899	Tetra-S	2	bridging
14904	Tetra-S	3	effective
14914	Tetra-S	0	ineffective
14924	Tetra-S	0	ineffective
14934	Tetra-S	0	ineffective
14939	Tetra-S	0	ineffective
14944	Tetra-S	2	bridging
14949	Tetra-S	2	bridging
14954	Tetra-S	0	ineffective
14964	Tetra-S	3	effective
14969	Tetra-S	0	ineffective
14974	Tetra-S	0	ineffective
14979	Tetra-S	0	ineffective
14984	Tetra-S	2	bridging
14989	Tetra-S	3	effective
14994	Tetra-S	0	ineffective
14999	Tetra-S	3	effective
15004	Tetra-S	0	ineffective
15009	Tetra-S	0	ineffective
15019	Tetra-S	2	bridging
15024	Tetra-S	2	bridging
15029	Tetra-S	2	bridging
15034	Tetra-S	4	effective
15039	Tetra-S	0	ineffective
15044	Tetra-S	4	effective
15049	Tetra-S	3	effective
15054	Tetra-S	3	effective
15059	Tetra-S	2	bridging
15064	Tetra-S	2	bridging
15069	Tetra-S	0	ineffective
15074	Tetra-S	2	bridging
15084	Tetra-S	2	bridging
15089	Tetra-S	0	ineffective
15094	Tetra-S	0	ineffective
15099	Tetra-S	0	ineffective
15104	Tetra-S	3	effective
15109	Tetra-S	2	bridging
15114	Tetra-S	0	ineffective
15119	Tetra-S	4	effective
15124	Tetra-S	0	ineffective
15129	Tetra-S	2	bridging
15134	Tetra-S	3	effective
15144	Tetra-S	0	ineffective
15149	Tetra-S	3	effective
15159	Tetra-S	2	bridging
15164	Tetra-S	3	effective
15174	Tetra-S	4	effective
15179	Tetra-S	0	ineffective
15184	Tetra-S	2	bridging
15189	Tetra-S	0	ineffective
15194	Tetra-S	3	effective
15199	Tetra-S	2	bridging
15204	Tetra-S	2	bridging
15209	Tetra-S	2	bridging
15214	Tetra-S	2	bridging
15219	Tetra-S	3	effective
15224	Tetra-S	3	effective
15229	Tetra-S	0	ineffective
15234	Tetra-S	3	effective
15239	Tetra-S	2	bridging
15244	Tetra-S	2	bridging
15249	Tetra-S	3	effective
15254	Tetra-S	0	ineffective
15269	Tetra-S	0	ineffective
15274	Tetra-S	3	effective
15284	Tetra-S	2	bridging
15289	Tetra-S	3	effective
15294	Tetra-S	0	ineffective
15309	Tetra-S	0	ineffective
15314	Tetra-S	2	bridging
15319	Tetra-S	2	bridging
15324	Tetra-S	4	effective
15334	Tetra-S	2	bridging
15339	Tetra-S	2	bridging
15349	Tetra-S	2	bridging
15354	Tetra-S	0	ineffective
15359	Tetra-S	2	bridging
15369	Tetra-S	4	effective
15379	Tetra-S	2	bridging
15384	Tetra-S	0	ineffective
15389	Tetra-S	2	bridging
15394	Tetra-S	2	bridging
15399	Tetra-S	2	bridging
15404	Tetra-S	3	effective
15409	Tetra-S	3	effective
15414	Tetra-S	3	effective
15419	Tetra-S	2	bridging
15424	Tetra-S	0	ineffective
15429	Tetra-S	4	effective
15434	Tetra-S	3	effective
15439	Tetra-S	3	effective
15444	Tetra-S	0	ineffective
15449	Tetra-S	2	bridging
15459	Tetra-S	2	bridging
15464	Tetra-S	3	effective
15469	Tetra-S	2	bridging
15474	Tetra-S	0	ineffective
15489	Tetra-S	0	ineffective
15494	Tetra-S	0	ineffective
15499	Tetra-S	0	ineffective
15504	Tetra-S	0	ineffective
15509	Tetra-S	2	bridging
15519	Tetra-S	2	bridging
15524	Tetra-S	3	effective
15529	Tetra-S	2	bridging
15534	Tetra-S	0	ineffective
15539	Tetra-S	3	effective
15544	Tetra-S	0	ineffective
15549	Tetra-S	0	ineffective
15554	Tetra-S	2	bridging
15559	Tetra-S	3	effective
15564	Tetra-S	2	bridging
15574	Tetra-S	3	effective
15579	Tetra-S	2	bridging
15584	Tetra-S	2	bridging
15589	Tetra-S	2	bridging
