dangling_strand count
1 1435
2 270
3 917
4 608
5 22
6 379
7 238
8 15
9 115
10 89
11 10
12 74
13 70
14 9
15 37
16 39
17 2
18 21
19 26
20 4
21 12
22 10
23 2
24 8
25 12
26 5
27 4
28 5
29 1
30 5
31 5
32 3
33 1
34 2
35 3
37 1
38 2
40 2
42 1
45 1
46 2
49 1
54 1
58 1
61 1
primary_loop_size data
4.0 23
5.0 27
6.0 29
7.0 13
8.0 16
9.0 3
10.0 2
12.0 3
14.0 2
16.0 1
25.0 1
secondary_loop_size data
3.0 55
4.0 49
5.0 40
6.0 23
7.0 24
8.0 16
9.0 12
10.0 10
11.0 7
12.0 5
13.0 1
14.0 7
15.0 2
16.0 1
17.0 2
18.0 1
19.0 2
20.0 2
30.0 1
tertiary_loop_size data
1.0 2
2.0 37
3.0 31
4.0 28
5.0 23
6.0 20
7.0 20
8.0 17
9.0 20
10.0 11
11.0 4
12.0 7
13.0 5
14.0 2
15.0 5
16.0 1
17.0 2
18.0 3
19.0 1
20.0 2
21.0 1
22.0 1
26.0 1
29.0 1
quaternary_loop_size data
2.0 15
3.0 14
4.0 18
5.0 20
6.0 13
7.0 21
8.0 13
9.0 18
10.0 15
11.0 12
12.0 5
13.0 9
14.0 10
15.0 10
16.0 4
17.0 3
18.0 4
19.0 5
20.0 2
21.0 1
22.0 4
23.0 2
24.0 1
27.0 1
28.0 1
33.0 2
