frame thiol_conversion ene_conversion
0 0.0012152514051344543 0.00445998682276616
1 0.006025621550458271 0.01596472555876538
2 0.010937262646209978 0.02762150930008611
3 0.015140007088966567 0.038366023009477446
4 0.019292116056509157 0.04840099336070147
5 0.023899944300977305 0.05787846535907959
6 0.028305230644589563 0.06857229740003046
7 0.03260924603777404 0.078759312756576
8 0.036356271203605295 0.08864223810247829
9 0.04131854777457089 0.09857584511682127
10 0.04521747936604381 0.10850945213116414
11 0.05002784951136763 0.11824033247174492
12 0.05377487467719888 0.12751507779636106
13 0.056762367714821016 0.13608027976280979
14 0.06081320573193583 0.14555775176118801
15 0.06461086637298086 0.15412295372763674
16 0.068408527014026 0.1627895190309665
17 0.07210491670464325 0.17292585271907146
18 0.07610511924654417 0.1819978713699255
19 0.07975087346194742 0.19086716334701737
20 0.08395361790470401 0.20009122700319293
21 0.08744746569446549 0.20885915564340374
22 0.09124512633551063 0.21636004257260144
23 0.09473897412527221 0.22446910952308552
24 0.09818218643981969 0.23232476813136693
25 0.10192921160565094 0.239673610055243
26 0.10567623677148208 0.24844153869545382
27 0.10927135551167144 0.2561958339668542
28 0.11337282900400025 0.263899447569814
29 0.11681604131854773 0.27180578784653586
30 0.12137323408780187 0.281080533171152
31 0.12491771735277735 0.28848005676346866
32 0.12876601346903638 0.29689321372459576
33 0.13215859030837007 0.30424205564847195
34 0.13555116714770366 0.31138817089858595
35 0.13970327611524636 0.31944655618062945
36 0.14385538508278906 0.32861993816836454
37 0.14729859739733653 0.3358674167553596
38 0.1499822775836751 0.34230398864730627
39 0.15372930274950636 0.3507171456084335
40 0.15762823434097928 0.3574578075110233
41 0.16046382095295963 0.36470528609801833
42 0.1640083042179351 0.37124322132684606
43 0.1672996101068408 0.37788251989255484
44 0.17023646766924905 0.38518068014799045
45 0.17362904450858274 0.3914652070346156
46 0.17712289229834421 0.3985099589478486
47 0.18112309484024502 0.4054533475242005
48 0.1838574105017976 0.4111296943895393
49 0.1864398197377083 0.41700876792864017
50 0.18937667730011642 0.4231919314783843
51 0.19241480581295256 0.429628503370331
52 0.19509848599929114 0.4346966702143834
53 0.1985923337890526 0.4410825604378896
54 0.20147855587624686 0.4472150423191932
55 0.2043647779634412 0.45253661750544827
56 0.20679528077371 0.45765546601794127
57 0.20968150286090437 0.46282499619887485
58 0.21206137019595928 0.4680958897166895
59 0.2151501341840093 0.4732147382291825
60 0.21747936604385032 0.4793979017789266
61 0.22036558813104457 0.4848715219705033
62 0.22315053926781103 0.49029446049363945
63 0.2258848549293635 0.49652830571182405
64 0.22872044154134386 0.5017991992296387
65 0.23110030887639876 0.5069180477421317
66 0.2341384373892349 0.51254371293903
67 0.23697402400121526 0.5175105164462014
68 0.24021469441490706 0.5232882266484213
69 0.24340472935338497 0.5278495768080685
70 0.24629095144057922 0.533677968678729
71 0.2489239961517039 0.5393036338756272
72 0.2513038634867588 0.5427499873295829
73 0.2537850017722416 0.5468045208048249
74 0.25601296268165474 0.5516192793066748
75 0.258190288115854 0.5557244944503573
76 0.26087396830219256 0.5599817545993614
77 0.2639120968150286 0.5644417414221277
78 0.2660387867740138 0.5687496832395722
79 0.2678616638817155 0.5728042167148142
80 0.27003898931591475 0.577112158532259
81 0.2722669502253279 0.581369418681263
82 0.2743936401843131 0.5858800871724696
83 0.2763177882424427 0.5899346206477117
84 0.27895083295356726 0.5944452891389185
85 0.28062180363562717 0.5988545942932442
86 0.28244468074332874 0.6019461760681162
87 0.2843688288014583 0.605595256195834
88 0.2862423413843739 0.6092950179919923
89 0.28821712491771734 0.6132481881303533
90 0.2901919084510608 0.6169479499265116
