dangling_strand count
1 1308
2 452
3 902
4 604
5 36
6 337
7 210
8 56
9 107
10 119
11 28
12 68
13 62
14 18
15 23
16 45
17 6
18 22
19 28
20 16
21 14
22 19
23 4
24 5
25 11
26 4
27 7
28 5
29 3
30 6
31 1
32 3
33 5
34 2
35 3
36 3
37 1
39 1
41 3
44 2
45 1
46 1
47 2
48 1
49 2
53 1
55 1
56 1
58 1
65 1
primary_loop_size data
4.0 32
5.0 27
6.0 42
7.0 13
8.0 13
9.0 5
10.0 3
11.0 3
14.0 2
15.0 1
16.0 1
17.0 2
24.0 1
secondary_loop_size data
3.0 63
4.0 40
5.0 45
6.0 19
7.0 24
8.0 15
9.0 9
10.0 9
11.0 5
12.0 6
13.0 2
14.0 1
15.0 1
17.0 1
18.0 1
19.0 1
20.0 1
21.0 1
24.0 1
tertiary_loop_size data
1.0 1
2.0 33
3.0 31
4.0 37
5.0 13
6.0 25
7.0 14
8.0 11
9.0 9
10.0 13
11.0 11
12.0 7
13.0 1
14.0 5
15.0 5
16.0 5
17.0 3
18.0 2
19.0 1
20.0 1
22.0 1
25.0 1
26.0 1
31.0 1
quaternary_loop_size data
2.0 23
3.0 5
4.0 24
5.0 18
6.0 10
7.0 23
8.0 19
9.0 17
10.0 11
11.0 12
12.0 10
13.0 8
14.0 11
15.0 8
16.0 4
17.0 5
18.0 3
19.0 4
20.0 3
21.0 1
22.0 4
24.0 1
25.0 1
26.0 1
28.0 1
30.0 1
35.0 1
